,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,18357.0,16973352.0,0.0,0.0
TaxRateForCalcs,0.211,0.198,0.198,0.211983
TotalUnusualItems,87000.0,85724000.0,,
TotalUnusualItemsExcludingGoodwill,87000.0,85724000.0,,
NetIncomeFromContinuingOperationNetMinorityInterest,132603000.0,197299000.0,137271000.0,137847000.0
ReconciledDepreciation,19133000.0,19855000.0,20429000.0,17612000.0
NetInterestIncome,317242000.0,315393000.0,312231000.0,319460000.0
InterestExpense,310052000.0,259846000.0,193808000.0,131718000.0
InterestIncome,627294000.0,575239000.0,506039000.0,451178000.0
NormalizedIncome,132534357.0,128548352.0,137271000.0,137847000.0
NetIncomeFromContinuingAndDiscontinuedOperation,132603000.0,197299000.0,137271000.0,137847000.0
DilutedAverageShares,76201916.0,76090321.0,76042328.0,76198411.0
BasicAverageShares,76044182.0,76030081.0,75921282.0,75771828.0
DilutedEPS,1.69,2.54,1.76,1.76
BasicEPS,1.69,2.55,1.76,1.77
DilutedNIAvailtoComStockholders,128805000.0,193501000.0,133473000.0,134049000.0
NetIncomeCommonStockholders,128805000.0,193501000.0,133473000.0,134049000.0
PreferredStockDividends,3798000.0,3798000.0,3798000.0,3798000.0
NetIncome,132603000.0,197299000.0,137271000.0,137847000.0
NetIncomeIncludingNoncontrollingInterests,132603000.0,197299000.0,137271000.0,137847000.0
NetIncomeContinuousOperations,132603000.0,197299000.0,137271000.0,137847000.0
TaxProvision,35377000.0,48603000.0,33995000.0,37082000.0
PretaxIncome,167980000.0,245902000.0,171266000.0,174929000.0
SpecialIncomeCharges,,85724000.0,,
OtherSpecialCharges,,-85724000.0,,
GainOnSaleOfSecurity,-3890000.0,-8647000.0,2360000.0,1501000.0
DepreciationAmortizationDepletionIncomeStatement,1765000.0,1780000.0,1794000.0,1937000.0
DepreciationAndAmortizationInIncomeStatement,1765000.0,1780000.0,1794000.0,1937000.0
Amortization,1765000.0,1780000.0,1794000.0,1937000.0
AmortizationOfIntangiblesIncomeStatement,1765000.0,1780000.0,1794000.0,1937000.0
SellingGeneralAndAdministration,135823000.0,138107000.0,141650000.0,166756000.0
SellingAndMarketingExpense,5479000.0,5664000.0,5942000.0,7579000.0
GeneralAndAdministrativeExpense,130344000.0,132443000.0,135708000.0,159177000.0
SalariesAndWages,130344000.0,132443000.0,135708000.0,131802000.0
TotalRevenue,355692000.0,352567000.0,358516000.0,358507000.0
OperatingRevenue,355692000.0,352567000.0,358516000.0,358507000.0
