,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-314644.87966,-151550.836364,-495320.0,-43406.577934
TaxRateForCalcs,0.289995,0.290327,0.28,0.086987
NormalizedEBITDA,116658000.0,99427000.0,49787000.0,94319000.0
TotalUnusualItems,-1085000.0,-522000.0,-1769000.0,-499000.0
TotalUnusualItemsExcludingGoodwill,-1085000.0,-522000.0,-1769000.0,-499000.0
NetIncomeFromContinuingOperationNetMinorityInterest,48144000.0,39032000.0,1310000.0,41501000.0
ReconciledDepreciation,26700000.0,27021000.0,27733000.0,29809000.0
ReconciledCostOfRevenue,1355591000.0,1256113000.0,1157164000.0,1175754000.0
EBITDA,115573000.0,98905000.0,48018000.0,93820000.0
EBIT,88873000.0,71884000.0,20285000.0,64011000.0
NetInterestIncome,-21065000.0,-16884000.0,-18465000.0,-18556000.0
InterestExpense,21065000.0,16884000.0,18465000.0,18556000.0
NormalizedIncome,48914355.12034,39402449.163636,2583680.0,41956593.422066
NetIncomeFromContinuingAndDiscontinuedOperation,48144000.0,39032000.0,1310000.0,41501000.0
TotalExpenses,1439995000.0,1341684000.0,1235173000.0,1266426000.0
TotalOperatingIncomeAsReported,88407000.0,70795000.0,19028000.0,60886000.0
DilutedAverageShares,54351000.0,54324000.0,53944000.0,53711000.0
BasicAverageShares,53339000.0,53301000.0,53184000.0,53120000.0
DilutedEPS,0.89,0.72,0.02,0.77
BasicEPS,0.9,0.73,0.02,0.78
DilutedNIAvailtoComStockholders,48144000.0,39032000.0,1310000.0,41501000.0
NetIncomeCommonStockholders,48144000.0,39032000.0,1310000.0,41501000.0
NetIncome,48144000.0,39032000.0,1310000.0,41501000.0
NetIncomeIncludingNoncontrollingInterests,48144000.0,39032000.0,1310000.0,41501000.0
NetIncomeContinuousOperations,48144000.0,39032000.0,1310000.0,41501000.0
TaxProvision,19664000.0,15968000.0,510000.0,3954000.0
PretaxIncome,67808000.0,55000000.0,1820000.0,45455000.0
OtherIncomeExpense,-618000.0,191000.0,-1438000.0,1299000.0
OtherNonOperatingIncomeExpenses,467000.0,713000.0,331000.0,1798000.0
SpecialIncomeCharges,-1084000.0,-898000.0,-2695000.0,-1826000.0
GainOnSaleOfPPE,0.0,0.0,,0.0
RestructuringAndMergernAcquisition,1084000.0,898000.0,2695000.0,1826000.0
GainOnSaleOfSecurity,-1000.0,376000.0,926000.0,1327000.0
NetNonOperatingInterestIncomeExpense,-21065000.0,-16884000.0,-18465000.0,-18556000.0
InterestExpenseNonOperating,21065000.0,16884000.0,18465000.0,18556000.0
OperatingIncome,89491000.0,71693000.0,21723000.0,62712000.0
OperatingExpense,84404000.0,85571000.0,78009000.0,90672000.0
SellingGeneralAndAdministration,84404000.0,85571000.0,78009000.0,90672000.0
GrossProfit,173895000.0,157264000.0,99732000.0,153384000.0
CostOfRevenue,1355591000.0,1256113000.0,1157164000.0,1175754000.0
TotalRevenue,1529486000.0,1413377000.0,1256896000.0,1329138000.0
OperatingRevenue,1529486000.0,1413377000.0,1256896000.0,1329138000.0
