,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,26640000.0,-4140000.0,220000.0,537730663.525717
TaxRateForCalcs,0.24,0.23,0.22,0.210051
NormalizedEBITDA,3417000000.0,3030000000.0,3324000000.0,688000000.0
TotalUnusualItems,111000000.0,-18000000.0,1000000.0,2560000000.0
TotalUnusualItemsExcludingGoodwill,111000000.0,-18000000.0,1000000.0,2560000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,2097000000.0,1697000000.0,1961000000.0,1884000000.0
ReconciledDepreciation,488000000.0,495000000.0,476000000.0,502000000.0
ReconciledCostOfRevenue,34818000000.0,31066000000.0,29817000000.0,35648000000.0
EBITDA,3528000000.0,3012000000.0,3325000000.0,3248000000.0
EBIT,3040000000.0,2517000000.0,2849000000.0,2746000000.0
NetInterestIncome,-227000000.0,-273000000.0,-198000000.0,-117000000.0
InterestExpense,227000000.0,273000000.0,198000000.0,199000000.0
NormalizedIncome,2012640000.0,1710860000.0,1960220000.0,-138269336.474283
NetIncomeFromContinuingAndDiscontinuedOperation,2097000000.0,1697000000.0,1961000000.0,1884000000.0
TotalExpenses,37291000000.0,33217000000.0,32207000000.0,38136000000.0
DilutedAverageShares,447258000.0,456168000.0,467034000.0,474327000.0
BasicAverageShares,444283000.0,454450000.0,464810000.0,471859000.0
DilutedEPS,4.69,3.72,4.2,3.97
BasicEPS,4.72,3.73,4.21,3.99
DilutedNIAvailtoComStockholders,2097000000.0,1696000000.0,1960000000.0,1884000000.0
AverageDilutionEarnings,2000000.0,2000000.0,2000000.0,2000000.0
NetIncomeCommonStockholders,2095000000.0,1694000000.0,1958000000.0,1882000000.0
OtherunderPreferredStockDividend,2000000.0,3000000.0,3000000.0,2000000.0
NetIncome,2097000000.0,1697000000.0,1961000000.0,1884000000.0
MinorityInterests,-46000000.0,-37000000.0,-116000000.0,-128000000.0
NetIncomeIncludingNoncontrollingInterests,2143000000.0,1734000000.0,2077000000.0,2012000000.0
NetIncomeContinuousOperations,2143000000.0,1734000000.0,2077000000.0,2012000000.0
TaxProvision,670000000.0,510000000.0,574000000.0,535000000.0
PretaxIncome,2813000000.0,2244000000.0,2651000000.0,2547000000.0
OtherIncomeExpense,688000000.0,644000000.0,660000000.0,521000000.0
OtherNonOperatingIncomeExpenses,15000000.0,99000000.0,48000000.0,-2623000000.0
SpecialIncomeCharges,99000000.0,-16000000.0,26000000.0,2960000000.0
GainOnSaleOfPPE,102000000.0,-12000000.0,34000000.0,5000000.0
WriteOff,,4000000.0,,
ImpairmentOfCapitalAssets,3000000.0,,8000000.0,12000000.0
EarningsFromEquityInterest,562000000.0,563000000.0,611000000.0,584000000.0
GainOnSaleOfSecurity,12000000.0,-2000000.0,-25000000.0,-400000000.0
NetNonOperatingInterestIncomeExpense,-227000000.0,-273000000.0,-198000000.0,-117000000.0
InterestExpenseNonOperating,227000000.0,273000000.0,198000000.0,199000000.0
OperatingIncome,2352000000.0,1873000000.0,2189000000.0,2143000000.0
OperatingExpense,2473000000.0,2151000000.0,2390000000.0,2488000000.0
OtherOperatingExpenses,1633000000.0,1384000000.0,1578000000.0,1728000000.0
OtherTaxes,171000000.0,174000000.0,207000000.0,130000000.0
SellingGeneralAndAdministration,669000000.0,593000000.0,605000000.0,630000000.0
GrossProfit,4825000000.0,4024000000.0,4579000000.0,4631000000.0
CostOfRevenue,34818000000.0,31066000000.0,29817000000.0,35648000000.0
TotalRevenue,39643000000.0,35090000000.0,34396000000.0,40279000000.0
OperatingRevenue,39643000000.0,35090000000.0,34396000000.0,40279000000.0
