,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30
TaxEffectOfUnusualItems,-12740.0,-5307916.032105,-57967.0,-173880.0,-407552.0
TaxRateForCalcs,0.364,0.117411,0.343,0.21,0.256
NormalizedEBITDA,349000.0,44635000.0,48917000.0,31670000.0,2848000.0
TotalUnusualItems,-35000.0,-45208000.0,-169000.0,-828000.0,-1592000.0
TotalUnusualItemsExcludingGoodwill,-35000.0,-45208000.0,-169000.0,-828000.0,-1592000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-17962000.0,-25785000.0,13693000.0,4129000.0,-17719000.0
ReconciledDepreciation,23471000.0,23370000.0,22540000.0,22399000.0,21451000.0
ReconciledCostOfRevenue,633420000.0,627880000.0,713685000.0,682937000.0,550011000.0
EBITDA,314000.0,-573000.0,48748000.0,30842000.0,1256000.0
EBIT,-23157000.0,-23943000.0,26208000.0,8443000.0,-20195000.0
NetInterestIncome,-4810000.0,-5211000.0,-5146000.0,-4908000.0,-3324000.0
InterestExpense,4810000.0,5211000.0,5146000.0,4908000.0,3324000.0
NormalizedIncome,-17939740.0,14115083.967895,13804033.0,4783120.0,-16534552.0
NetIncomeFromContinuingAndDiscontinuedOperation,-17964000.0,-25816000.0,13460000.0,4353000.0,-17788000.0
TotalExpenses,696522000.0,697097000.0,782212000.0,746894000.0,614239000.0
TotalOperatingIncomeAsReported,-22987000.0,-23670000.0,27514000.0,8542000.0,-16311000.0
DilutedAverageShares,28219000.0,,28659000.0,28617000.0,27723000.0
BasicAverageShares,28219000.0,,28114000.0,28081000.0,27723000.0
DilutedEPS,-0.64,,0.47,0.15,-0.64
BasicEPS,-0.64,,0.48,0.16,-0.64
DilutedNIAvailtoComStockholders,-17964000.0,-25816000.0,13460000.0,4353000.0,-17788000.0
NetIncomeCommonStockholders,-17964000.0,-25816000.0,13460000.0,4353000.0,-17788000.0
NetIncome,-17964000.0,-25816000.0,13460000.0,4353000.0,-17788000.0
MinorityInterests,-165000.0,-54000.0,-148000.0,81000.0,-232000.0
NetIncomeIncludingNoncontrollingInterests,-17799000.0,-25762000.0,13608000.0,4272000.0,-17556000.0
NetIncomeDiscontinuousOperations,-2000.0,-31000.0,-233000.0,224000.0,-69000.0
NetIncomeContinuousOperations,-17797000.0,-25731000.0,13841000.0,4048000.0,-17487000.0
TaxProvision,-10170000.0,-3423000.0,7221000.0,-513000.0,-6032000.0
PretaxIncome,-27967000.0,-29154000.0,21062000.0,3535000.0,-23519000.0
OtherIncomeExpense,468000.0,-44777000.0,-1190000.0,-616000.0,-4686000.0
OtherNonOperatingIncomeExpenses,-170000.0,-273000.0,-1306000.0,-99000.0,-3884000.0
SpecialIncomeCharges,-35000.0,-45208000.0,-169000.0,-828000.0,-1592000.0
ImpairmentOfCapitalAssets,,39270000.0,0.0,,
RestructuringAndMergernAcquisition,35000.0,141000.0,169000.0,828000.0,1592000.0
EarningsFromEquityInterest,673000.0,704000.0,285000.0,311000.0,790000.0
NetNonOperatingInterestIncomeExpense,-4810000.0,-5211000.0,-5146000.0,-4908000.0,-3324000.0
InterestExpenseNonOperating,4810000.0,5211000.0,5146000.0,4908000.0,3324000.0
OperatingIncome,-23625000.0,20834000.0,27398000.0,9059000.0,-15509000.0
OperatingExpense,63102000.0,69217000.0,68527000.0,63957000.0,64228000.0
SellingGeneralAndAdministration,63102000.0,69217000.0,68527000.0,63957000.0,64228000.0
GrossProfit,39477000.0,90051000.0,95925000.0,73016000.0,48719000.0
CostOfRevenue,633420000.0,627880000.0,713685000.0,682937000.0,550011000.0
TotalRevenue,672897000.0,717931000.0,809610000.0,755953000.0,598730000.0
OperatingRevenue,672897000.0,717931000.0,809610000.0,755953000.0,598730000.0
