,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-198450.0,382830.0,392280.0,985320.0
TaxRateForCalcs,0.21,0.21,0.21,0.21
NormalizedEBITDA,219705000.0,206466000.0,215973000.0,210561000.0
TotalUnusualItems,-945000.0,1823000.0,1868000.0,4692000.0
TotalUnusualItemsExcludingGoodwill,-945000.0,1823000.0,1868000.0,4692000.0
NetIncomeFromContinuingOperationNetMinorityInterest,90720000.0,86782000.0,97281000.0,95263000.0
ReconciledDepreciation,79774000.0,74797000.0,77229000.0,76865000.0
ReconciledCostOfRevenue,107129000.0,101267000.0,94977000.0,96030000.0
EBITDA,218760000.0,208289000.0,217841000.0,215253000.0
EBIT,131255000.0,125128000.0,135134000.0,133018000.0
NetInterestIncome,-38698000.0,-36956000.0,-36284000.0,-36278000.0
InterestExpense,39082000.0,36956000.0,36646000.0,36633000.0
InterestIncome,384000.0,,362000.0,355000.0
NormalizedIncome,91466550.0,85341830.0,95805280.0,91556320.0
NetIncomeFromContinuingAndDiscontinuedOperation,90720000.0,86782000.0,97281000.0,95263000.0
TotalExpenses,211339000.0,202811000.0,196989000.0,198515000.0
DilutedAverageShares,178231000.0,171275000.0,171494000.0,171586000.0
BasicAverageShares,177344000.0,170990000.0,171212000.0,170659178.0
DilutedEPS,0.5,0.51,0.57,0.558206
BasicEPS,0.5,0.51,0.57,0.558206
DilutedNIAvailtoComStockholders,89076000.0,86782000.0,97281000.0,95263000.0
NetIncomeCommonStockholders,89076000.0,86782000.0,97281000.0,95263000.0
PreferredStockDividends,1644000.0,,,
NetIncome,90720000.0,86782000.0,97281000.0,95263000.0
MinorityInterests,-1453000.0,-1390000.0,-1207000.0,-1122000.0
NetIncomeIncludingNoncontrollingInterests,92173000.0,88172000.0,98488000.0,96385000.0
NetIncomeContinuousOperations,92173000.0,88172000.0,98488000.0,96385000.0
PretaxIncome,92173000.0,88172000.0,98488000.0,96385000.0
OtherIncomeExpense,11572000.0,13692000.0,13784000.0,16661000.0
SpecialIncomeCharges,,,,0.0
ImpairmentOfCapitalAssets,,,,0.0
EarningsFromEquityInterest,12517000.0,11869000.0,11916000.0,11969000.0
GainOnSaleOfSecurity,-945000.0,1823000.0,1868000.0,4692000.0
NetNonOperatingInterestIncomeExpense,-38698000.0,-36956000.0,-36284000.0,-36278000.0
InterestExpenseNonOperating,39082000.0,36956000.0,36646000.0,36633000.0
InterestIncomeNonOperating,384000.0,,362000.0,355000.0
OperatingIncome,119299000.0,111436000.0,120988000.0,116002000.0
OperatingExpense,111941000.0,109908000.0,107490000.0,107855000.0
OtherOperatingExpenses,3533000.0,1682000.0,-497000.0,2427000.0
DepreciationAmortizationDepletionIncomeStatement,87505000.0,83161000.0,82707000.0,82235000.0
DepreciationAndAmortizationInIncomeStatement,87505000.0,83161000.0,82707000.0,82235000.0
SellingGeneralAndAdministration,20903000.0,25065000.0,25280000.0,23193000.0
GeneralAndAdministrativeExpense,20903000.0,25065000.0,25280000.0,23193000.0
OtherGandA,20903000.0,25065000.0,25280000.0,23193000.0
GrossProfit,231240000.0,221344000.0,228478000.0,223857000.0
CostOfRevenue,99398000.0,92903000.0,89499000.0,90660000.0
TotalRevenue,330638000.0,314247000.0,317977000.0,314517000.0
OperatingRevenue,330638000.0,314247000.0,317977000.0,314517000.0
