,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.0,0.21,0.0,0.0
NormalizedEBITDA,-7631000.0,-6797000.0,-6906000.0,-6566000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-7824000.0,-7013000.0,-7139000.0,-6795000.0
ReconciledDepreciation,56000.0,47000.0,48000.0,33000.0
EBITDA,-7631000.0,-6797000.0,-6906000.0,-6566000.0
EBIT,-7687000.0,-6844000.0,-6954000.0,-6599000.0
NetInterestIncome,301000.0,303000.0,230000.0,137000.0
InterestExpense,137000.0,168000.0,185000.0,196000.0
InterestIncome,438000.0,471000.0,415000.0,333000.0
NormalizedIncome,-7824000.0,-7013000.0,-7139000.0,-6795000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-7824000.0,-7013000.0,-7139000.0,-6795000.0
TotalExpenses,8125000.0,7315000.0,7369000.0,6932000.0
TotalOperatingIncomeAsReported,-8125000.0,-7315000.0,-7369000.0,-6932000.0
DilutedAverageShares,19628815.0,19101969.0,16844243.0,16839700.0
BasicAverageShares,19628815.0,19101969.0,16844243.0,16839700.0
DilutedEPS,-0.4,-0.37,-0.42,-0.4
BasicEPS,-0.4,-0.37,-0.42,-0.4
DilutedNIAvailtoComStockholders,-7824000.0,-7013000.0,-7139000.0,-6795000.0
NetIncomeCommonStockholders,-7824000.0,-7013000.0,-7139000.0,-6795000.0
NetIncome,-7824000.0,-7013000.0,-7139000.0,-6795000.0
NetIncomeIncludingNoncontrollingInterests,-7824000.0,-7013000.0,-7139000.0,-6795000.0
NetIncomeContinuousOperations,-7824000.0,-7013000.0,-7139000.0,-6795000.0
TaxProvision,0.0,1000.0,0.0,0.0
PretaxIncome,-7824000.0,-7012000.0,-7139000.0,-6795000.0
NetNonOperatingInterestIncomeExpense,301000.0,303000.0,230000.0,137000.0
InterestExpenseNonOperating,137000.0,168000.0,185000.0,196000.0
InterestIncomeNonOperating,438000.0,471000.0,415000.0,333000.0
OperatingIncome,-8125000.0,-7315000.0,-7369000.0,-6932000.0
OperatingExpense,8125000.0,7315000.0,7369000.0,6932000.0
ResearchAndDevelopment,5488000.0,4976000.0,4925000.0,4713000.0
SellingGeneralAndAdministration,2637000.0,2339000.0,2444000.0,2219000.0
GeneralAndAdministrativeExpense,2637000.0,2339000.0,2444000.0,2219000.0
OtherGandA,2637000.0,2339000.0,2444000.0,2219000.0
TotalRevenue,0.0,0.0,0.0,0.0
OperatingRevenue,0.0,0.0,0.0,0.0
