,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.2429,0.2429,0.2429,0.025252
NetIncomeFromContinuingOperationNetMinorityInterest,6206000.0,7438000.0,-18523000.0,-17616000.0
ReconciledDepreciation,27636000.0,25357000.0,30685000.0,23987000.0
NetInterestIncome,-410000.0,-1649000.0,-649000.0,10956000.0
InterestExpense,94278000.0,82406000.0,67393000.0,74145000.0
InterestIncome,93868000.0,80757000.0,66744000.0,85101000.0
NormalizedIncome,6206000.0,7438000.0,-18523000.0,-17616000.0
NetIncomeFromContinuingAndDiscontinuedOperation,6206000.0,7438000.0,-18523000.0,-17616000.0
DilutedAverageShares,1983992350.0,1979450651.0,1974629808.0,121751798.0
BasicAverageShares,129390501.0,126740748.0,124732722.0,121751798.0
DilutedEPS,0.04,0.05,-0.16,-0.14
BasicEPS,0.05,0.06,-0.15,-0.14
DilutedNIAvailtoComStockholders,89046000.0,105135000.0,-314453000.0,-381975000.0
AverageDilutionEarnings,82840000.0,97697000.0,-295930000.0,-364343000.0
NetIncomeCommonStockholders,6206000.0,7438000.0,-18523000.0,-17632000.0
OtherunderPreferredStockDividend,,,,16000.0
NetIncome,6206000.0,7438000.0,-18523000.0,-17616000.0
MinorityInterests,-108739000.0,-131714000.0,392960000.0,475039000.0
NetIncomeIncludingNoncontrollingInterests,114945000.0,139152000.0,-411483000.0,-492655000.0
NetIncomeContinuousOperations,114945000.0,139152000.0,-411483000.0,-492655000.0
TaxProvision,2680000.0,-782000.0,-4504000.0,-12763000.0
PretaxIncome,117625000.0,138370000.0,-415987000.0,-505418000.0
DepreciationAmortizationDepletionIncomeStatement,27636000.0,25357000.0,30685000.0,23987000.0
DepreciationAndAmortizationInIncomeStatement,27636000.0,25357000.0,30685000.0,23987000.0
SellingGeneralAndAdministration,982389000.0,998407000.0,980769000.0,890779000.0
SellingAndMarketingExpense,193406000.0,218843000.0,181604000.0,175413000.0
GeneralAndAdministrativeExpense,788983000.0,779564000.0,799165000.0,715366000.0
OtherGandA,199399000.0,200425000.0,195390000.0,196342000.0
SalariesAndWages,589584000.0,579139000.0,603775000.0,519024000.0
TotalRevenue,1164814000.0,1197893000.0,627735000.0,442459000.0
OperatingRevenue,1164814000.0,1197893000.0,627735000.0,442459000.0
