,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,0.0,-264000.0,0.0,-235294.117647,-203000.0
TaxRateForCalcs,0.18,0.264,0.2,0.117647,0.203
NormalizedEBITDA,179000000.0,405000000.0,192000000.0,159000000.0,168000000.0
TotalUnusualItems,0.0,-1000000.0,0.0,-2000000.0,-1000000.0
TotalUnusualItemsExcludingGoodwill,0.0,-1000000.0,0.0,-2000000.0,-1000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,93000000.0,247000000.0,98000000.0,74000000.0,80000000.0
ReconciledDepreciation,34000000.0,36000000.0,36000000.0,39000000.0,37000000.0
ReconciledCostOfRevenue,1666000000.0,1568000000.0,1793000000.0,1746000000.0,1688000000.0
EBITDA,179000000.0,404000000.0,192000000.0,157000000.0,167000000.0
EBIT,145000000.0,368000000.0,156000000.0,118000000.0,130000000.0
NetInterestIncome,-31000000.0,-33000000.0,-33000000.0,-33000000.0,-30000000.0
InterestExpense,31000000.0,33000000.0,33000000.0,33000000.0,30000000.0
NormalizedIncome,93000000.0,247736000.0,98000000.0,75764705.882353,80797000.0
NetIncomeFromContinuingAndDiscontinuedOperation,93000000.0,247000000.0,98000000.0,74000000.0,80000000.0
TotalExpenses,1752000000.0,1421000000.0,1871000000.0,1848000000.0,1775000000.0
TotalOperatingIncomeAsReported,143000000.0,362000000.0,157000000.0,118000000.0,133000000.0
DilutedAverageShares,53300000.0,53900000.0,54800000.0,55300000.0,55500000.0
BasicAverageShares,52800000.0,53500000.0,54300000.0,54600000.0,55000000.0
DilutedEPS,1.76,4.56,1.79,1.34,1.45
BasicEPS,1.79,4.6,1.8,1.36,1.45
DilutedNIAvailtoComStockholders,93000000.0,247000000.0,98000000.0,74000000.0,80000000.0
NetIncomeCommonStockholders,93000000.0,247000000.0,98000000.0,74000000.0,80000000.0
NetIncome,93000000.0,247000000.0,98000000.0,74000000.0,80000000.0
MinorityInterests,0.0,0.0,0.0,-1000000.0,0.0
NetIncomeIncludingNoncontrollingInterests,93000000.0,247000000.0,98000000.0,75000000.0,80000000.0
NetIncomeContinuousOperations,93000000.0,247000000.0,98000000.0,75000000.0,80000000.0
TaxProvision,21000000.0,88000000.0,25000000.0,10000000.0,20000000.0
PretaxIncome,114000000.0,335000000.0,123000000.0,85000000.0,100000000.0
OtherIncomeExpense,2000000.0,5000000.0,-1000000.0,-2000000.0,-4000000.0
OtherNonOperatingIncomeExpenses,2000000.0,6000000.0,-1000000.0,0.0,-3000000.0
SpecialIncomeCharges,0.0,-1000000.0,0.0,-2000000.0,-1000000.0
RestructuringAndMergernAcquisition,0.0,1000000.0,0.0,2000000.0,1000000.0
NetNonOperatingInterestIncomeExpense,-31000000.0,-33000000.0,-33000000.0,-33000000.0,-30000000.0
InterestExpenseNonOperating,31000000.0,33000000.0,33000000.0,33000000.0,30000000.0
OperatingIncome,143000000.0,363000000.0,157000000.0,120000000.0,134000000.0
OperatingExpense,86000000.0,-147000000.0,78000000.0,102000000.0,87000000.0
OtherOperatingExpenses,-1000000.0,-235000000.0,-6000000.0,,
SellingGeneralAndAdministration,87000000.0,88000000.0,84000000.0,102000000.0,87000000.0
GrossProfit,229000000.0,216000000.0,235000000.0,222000000.0,221000000.0
CostOfRevenue,1666000000.0,1568000000.0,1793000000.0,1746000000.0,1688000000.0
TotalRevenue,1895000000.0,1784000000.0,2028000000.0,1968000000.0,1909000000.0
OperatingRevenue,1895000000.0,1784000000.0,2028000000.0,1968000000.0,1909000000.0
