,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,29755392000.0,34078248000.0,-4626312000.0,-206122952000.0
TaxRateForCalcs,0.232,0.232,0.232,0.232
NormalizedEBITDA,-492210000000.0,26378000000.0,200626000000.0,644498000000.0
TotalUnusualItems,128256000000.0,146889000000.0,-19941000000.0,-888461000000.0
TotalUnusualItemsExcludingGoodwill,128256000000.0,146889000000.0,-19941000000.0,-888461000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-931111000000.0,-477616000000.0,-57631000000.0,-783415000000.0
ReconciledDepreciation,211694000000.0,209860000000.0,237381000000.0,219419000000.0
ReconciledCostOfRevenue,769311000000.0,725432000000.0,945747000000.0,835502000000.0
EBITDA,-363954000000.0,173267000000.0,180685000000.0,-243963000000.0
EBIT,-575648000000.0,-36593000000.0,-56696000000.0,-463382000000.0
NetInterestIncome,-155583000000.0,-139601000000.0,-122394000000.0,-119291000000.0
InterestExpense,155583000000.0,139601000000.0,122394000000.0,119291000000.0
NormalizedIncome,-1029611608000.0,-590426752000.0,-42316312000.0,-101076952000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-931111000000.0,-477616000000.0,-57631000000.0,-783415000000.0
TotalExpenses,1475303000000.0,1373512000000.0,1719960000000.0,1502277000000.0
DilutedAverageShares,2930112000.0,2926356000.0,,3001158000.0
BasicAverageShares,2930112000.0,2926356000.0,,3001158000.0
DilutedEPS,-319.95,-166.985,,-267.165
BasicEPS,-319.35,-166.375,,-263.57
DilutedNIAvailtoComStockholders,-931111000000.0,-477616000000.0,-57631000000.0,-783415000000.0
NetIncomeCommonStockholders,-931111000000.0,-477616000000.0,-57631000000.0,-783415000000.0
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0
NetIncome,-931111000000.0,-477616000000.0,-57631000000.0,-783415000000.0
MinorityInterests,-142152000000.0,-161422000000.0,-26070000000.0,-38737000000.0
NetIncomeIncludingNoncontrollingInterests,-788959000000.0,-316194000000.0,-31561000000.0,-744678000000.0
NetIncomeContinuousOperations,-788959000000.0,-316194000000.0,-31561000000.0,-744678000000.0
TaxProvision,57728000000.0,140000000000.0,-147529000000.0,162005000000.0
PretaxIncome,-731231000000.0,-176194000000.0,-179090000000.0,-582673000000.0
OtherNonOperatingIncomeExpenses,10540000000.0,169782000000.0,96004000000.0,-211379000000.0
NetNonOperatingInterestIncomeExpense,-155583000000.0,-139601000000.0,-122394000000.0,-119291000000.0
InterestExpenseNonOperating,155583000000.0,139601000000.0,122394000000.0,119291000000.0
OperatingIncome,194250000000.0,183995000000.0,-25294000000.0,191019000000.0
OperatingExpense,705992000000.0,648080000000.0,774213000000.0,666775000000.0
SellingGeneralAndAdministration,705992000000.0,648080000000.0,774213000000.0,666775000000.0
GeneralAndAdministrativeExpense,705992000000.0,648080000000.0,774213000000.0,666775000000.0
GrossProfit,900242000000.0,832075000000.0,748919000000.0,857794000000.0
CostOfRevenue,769311000000.0,725432000000.0,945747000000.0,835502000000.0
TotalRevenue,1669553000000.0,1557507000000.0,1694666000000.0,1693296000000.0
OperatingRevenue,1669553000000.0,1557507000000.0,1694666000000.0,1693296000000.0
