,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,5590.304557,-20160.0,28980.0,572670.0
TaxRateForCalcs,0.001692,0.21,0.21,0.21
NormalizedEBITDA,-10022000.0,-20849000.0,-19901000.0,-13596000.0
TotalUnusualItems,3304000.0,-96000.0,138000.0,2727000.0
TotalUnusualItemsExcludingGoodwill,3304000.0,-96000.0,138000.0,2727000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-24451000.0,-35143000.0,-34659000.0,-24124000.0
ReconciledDepreciation,18183000.0,14184000.0,14781000.0,12425000.0
ReconciledCostOfRevenue,60797000.0,62948000.0,67890000.0,73241000.0
EBITDA,-6718000.0,-20945000.0,-19763000.0,-10869000.0
EBIT,-24901000.0,-35129000.0,-34544000.0,-23294000.0
NetInterestIncome,1022000.0,1193000.0,1250000.0,565000.0
InterestExpense,513000.0,453000.0,430000.0,852000.0
InterestIncome,1535000.0,1646000.0,1680000.0,1417000.0
NormalizedIncome,-27749409.695443,-35067160.0,-34768020.0,-26278330.0
NetIncomeFromContinuingAndDiscontinuedOperation,-24451000.0,-35143000.0,-34659000.0,-24124000.0
TotalExpenses,143049000.0,144497000.0,152948000.0,150898000.0
TotalOperatingIncomeAsReported,-29722000.0,-34144000.0,-36653000.0,-27636000.0
DilutedAverageShares,351519172.0,354049808.0,352923217.0,350688872.0
BasicAverageShares,351519172.0,354049808.0,352923217.0,350688872.0
DilutedEPS,-0.07,-0.1,-0.1,-0.07
BasicEPS,-0.07,-0.1,-0.1,-0.07
DilutedNIAvailtoComStockholders,-24451000.0,-35143000.0,-34659000.0,-24124000.0
NetIncomeCommonStockholders,-24451000.0,-35143000.0,-34659000.0,-24124000.0
NetIncome,-24451000.0,-35143000.0,-34659000.0,-24124000.0
MinorityInterests,920000.0,504000.0,346000.0,81000.0
NetIncomeIncludingNoncontrollingInterests,-25371000.0,-35647000.0,-35005000.0,-24205000.0
NetIncomeContinuousOperations,-25371000.0,-35647000.0,-35005000.0,-24205000.0
TaxProvision,-43000.0,65000.0,31000.0,59000.0
PretaxIncome,-25414000.0,-35582000.0,-34974000.0,-24146000.0
OtherIncomeExpense,3286000.0,-2631000.0,429000.0,2925000.0
OtherNonOperatingIncomeExpenses,-18000.0,-2535000.0,291000.0,198000.0
SpecialIncomeCharges,520000.0,770000.0,138000.0,982000.0
RestructuringAndMergernAcquisition,-520000.0,-770000.0,-138000.0,-982000.0
GainOnSaleOfSecurity,2784000.0,-866000.0,,1745000.0
NetNonOperatingInterestIncomeExpense,1022000.0,1193000.0,1250000.0,565000.0
InterestExpenseNonOperating,513000.0,453000.0,430000.0,852000.0
InterestIncomeNonOperating,1535000.0,1646000.0,1680000.0,1417000.0
OperatingIncome,-29722000.0,-34144000.0,-36653000.0,-27636000.0
OperatingExpense,78682000.0,81549000.0,85058000.0,77657000.0
DepreciationAmortizationDepletionIncomeStatement,14613000.0,14184000.0,14781000.0,12425000.0
DepreciationAndAmortizationInIncomeStatement,14613000.0,14184000.0,14781000.0,12425000.0
ResearchAndDevelopment,15269000.0,17035000.0,20808000.0,16290000.0
SellingGeneralAndAdministration,48800000.0,50330000.0,49469000.0,48942000.0
SellingAndMarketingExpense,13549000.0,14959000.0,15348000.0,15172000.0
GeneralAndAdministrativeExpense,35251000.0,35371000.0,34121000.0,33770000.0
OtherGandA,35251000.0,35371000.0,34121000.0,33770000.0
GrossProfit,48960000.0,47405000.0,48405000.0,50021000.0
CostOfRevenue,64367000.0,62948000.0,67890000.0,73241000.0
TotalRevenue,113327000.0,110353000.0,116295000.0,123262000.0
OperatingRevenue,113327000.0,110353000.0,116295000.0,123262000.0
