,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-1586728.0,-501396.0,-980798.0,-13975080.0
TaxRateForCalcs,0.247,0.188,0.238,0.21
NormalizedEBITDA,267140000.0,214606000.0,201525000.0,208567000.0
TotalUnusualItems,-6424000.0,-2667000.0,-4121000.0,-66548000.0
TotalUnusualItemsExcludingGoodwill,-6424000.0,-2667000.0,-4121000.0,-66548000.0
NetIncomeFromContinuingOperationNetMinorityInterest,110617000.0,78890000.0,72029000.0,24595000.0
ReconciledDepreciation,66625000.0,67946000.0,66176000.0,60876000.0
ReconciledCostOfRevenue,1517183000.0,1176601000.0,1180316000.0,1222722000.0
EBITDA,260716000.0,211939000.0,197404000.0,142019000.0
EBIT,194091000.0,143993000.0,131228000.0,81143000.0
NetInterestIncome,-47264000.0,-46792000.0,-36766000.0,-34590000.0
InterestExpense,47264000.0,46792000.0,36766000.0,34590000.0
NormalizedIncome,115454272.0,81055604.0,75169202.0,77167920.0
NetIncomeFromContinuingAndDiscontinuedOperation,110617000.0,78890000.0,72029000.0,24595000.0
TotalExpenses,1602586000.0,1280067000.0,1281646000.0,1319216000.0
TotalOperatingIncomeAsReported,,,131228000.0,81143000.0
DilutedAverageShares,108752000.0,110452000.0,110849000.0,110769000.0
BasicAverageShares,108421000.0,110129000.0,110219000.0,110148000.0
DilutedEPS,1.02,0.71,0.65,0.22
BasicEPS,1.02,0.72,0.65,0.22
DilutedNIAvailtoComStockholders,110617000.0,78890000.0,72029000.0,24595000.0
NetIncomeCommonStockholders,110617000.0,78890000.0,72029000.0,24595000.0
NetIncome,110617000.0,78890000.0,72029000.0,24595000.0
NetIncomeIncludingNoncontrollingInterests,110617000.0,78890000.0,72029000.0,24595000.0
NetIncomeContinuousOperations,110617000.0,78890000.0,72029000.0,24595000.0
TaxProvision,36210000.0,18311000.0,22433000.0,21958000.0
PretaxIncome,146827000.0,97201000.0,94462000.0,46553000.0
OtherIncomeExpense,-6424000.0,-2667000.0,-5407000.0,-55028000.0
OtherNonOperatingIncomeExpenses,,,-1286000.0,11520000.0
SpecialIncomeCharges,-6424000.0,-2667000.0,-4121000.0,-66548000.0
OtherSpecialCharges,,,,0.0
RestructuringAndMergernAcquisition,6424000.0,2667000.0,4121000.0,66548000.0
NetNonOperatingInterestIncomeExpense,-47264000.0,-46792000.0,-36766000.0,-34590000.0
InterestExpenseNonOperating,47264000.0,46792000.0,36766000.0,34590000.0
OperatingIncome,200515000.0,146660000.0,136635000.0,136171000.0
OperatingExpense,85403000.0,103466000.0,101330000.0,96494000.0
SellingGeneralAndAdministration,85403000.0,103466000.0,101330000.0,96494000.0
GeneralAndAdministrativeExpense,85403000.0,103466000.0,101330000.0,96494000.0
OtherGandA,84320000.0,102171000.0,101330000.0,96494000.0
SalariesAndWages,1083000.0,1295000.0,,
GrossProfit,285918000.0,250126000.0,237965000.0,232665000.0
CostOfRevenue,1517183000.0,1176601000.0,1180316000.0,1222722000.0
TotalRevenue,1803101000.0,1426727000.0,1418281000.0,1455387000.0
OperatingRevenue,1803101000.0,1426727000.0,1418281000.0,1455387000.0
