,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30
TaxEffectOfUnusualItems,29260.0,-189420.0,-52630.0,8820.0,-7130.0
TaxRateForCalcs,0.19,0.21,0.19,0.18,0.23
NormalizedEBITDA,1897000.0,4625000.0,5319000.0,4920000.0,1832000.0
TotalUnusualItems,154000.0,-902000.0,-277000.0,49000.0,-31000.0
TotalUnusualItemsExcludingGoodwill,154000.0,-902000.0,-277000.0,49000.0,-31000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1945000.0,534000.0,4008000.0,4174000.0,1245000.0
ReconciledDepreciation,1091000.0,1037000.0,945000.0,935000.0,923000.0
ReconciledCostOfRevenue,4652000.0,3378000.0,2961000.0,2620000.0,2671000.0
EBITDA,2051000.0,3723000.0,5042000.0,4969000.0,1801000.0
EBIT,960000.0,2686000.0,4097000.0,4034000.0,878000.0
NetInterestIncome,1292000.0,1255000.0,1120000.0,985000.0,771000.0
InterestIncome,1292000.0,1255000.0,1120000.0,985000.0,771000.0
NormalizedIncome,1820260.0,1246580.0,4232370.0,4133820.0,1268870.0
NetIncomeFromContinuingAndDiscontinuedOperation,1945000.0,534000.0,4008000.0,4174000.0,1245000.0
TotalExpenses,13540000.0,15913000.0,12137000.0,11716000.0,11086000.0
TotalOperatingIncomeAsReported,960000.0,-284000.0,4097000.0,4034000.0,878000.0
DilutedAverageShares,20279000.0,,20355000.0,20529000.0,20825000.0
BasicAverageShares,19947000.0,,19972000.0,20112000.0,20286000.0
DilutedEPS,0.1,,0.2,0.2,0.06
BasicEPS,0.1,,0.2,0.21,0.06
DilutedNIAvailtoComStockholders,1945000.0,534000.0,4008000.0,4174000.0,1245000.0
NetIncomeCommonStockholders,1945000.0,534000.0,4008000.0,4174000.0,1245000.0
NetIncome,1945000.0,534000.0,4008000.0,4174000.0,1245000.0
NetIncomeIncludingNoncontrollingInterests,1945000.0,534000.0,4008000.0,4174000.0,1245000.0
NetIncomeContinuousOperations,1945000.0,534000.0,4008000.0,4174000.0,1245000.0
TaxProvision,461000.0,-465000.0,932000.0,894000.0,373000.0
PretaxIncome,2406000.0,69000.0,4940000.0,5068000.0,1618000.0
OtherIncomeExpense,154000.0,-902000.0,-277000.0,49000.0,-31000.0
SpecialIncomeCharges,110000.0,-686000.0,0.0,0.0,0.0
GainOnSaleOfPPE,,-6000.0,0.0,0.0,0.0
RestructuringAndMergernAcquisition,-110000.0,680000.0,0.0,0.0,0.0
GainOnSaleOfSecurity,44000.0,-216000.0,-277000.0,49000.0,-31000.0
NetNonOperatingInterestIncomeExpense,1292000.0,1255000.0,1120000.0,985000.0,771000.0
InterestIncomeNonOperating,1292000.0,1255000.0,1120000.0,985000.0,771000.0
OperatingIncome,960000.0,-284000.0,4097000.0,4034000.0,878000.0
OperatingExpense,8888000.0,12535000.0,9176000.0,9096000.0,8415000.0
ResearchAndDevelopment,1217000.0,1076000.0,945000.0,1317000.0,1166000.0
SellingGeneralAndAdministration,7671000.0,11459000.0,8231000.0,7779000.0,7249000.0
SellingAndMarketingExpense,1989000.0,,,,1485000.0
GeneralAndAdministrativeExpense,5682000.0,,,,5764000.0
OtherGandA,5682000.0,,,,5764000.0
GrossProfit,9848000.0,12251000.0,13273000.0,13130000.0,9293000.0
CostOfRevenue,4652000.0,3378000.0,2961000.0,2620000.0,2671000.0
TotalRevenue,14500000.0,15629000.0,16234000.0,15750000.0,11964000.0
OperatingRevenue,14500000.0,15629000.0,16234000.0,15750000.0,11964000.0
