,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-586362605.124193,-30358782.47285,-56020704.9544,-133400000.0
TaxRateForCalcs,0.033346,0.239046,0.28582,0.232
NormalizedEBITDA,27847000000.0,39872000000.0,28652000000.0,26858000000.0
TotalUnusualItems,-17584000000.0,-127000000.0,-196000000.0,-575000000.0
TotalUnusualItemsExcludingGoodwill,-17584000000.0,-127000000.0,-196000000.0,-575000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,9791000000.0,30175000000.0,20203000000.0,14692000000.0
ReconciledCostOfRevenue,68868000000.0,86049000000.0,73770000000.0,93879000000.0
EBITDA,10263000000.0,39745000000.0,28456000000.0,26283000000.0
EBIT,10263000000.0,39745000000.0,28456000000.0,26283000000.0
NetInterestIncome,5339000000.0,4415000000.0,3867000000.0,3053000000.0
InterestExpense,37000000.0,58000000.0,57000000.0,54000000.0
InterestIncome,5376000000.0,4473000000.0,3924000000.0,3107000000.0
NormalizedIncome,26788637394.87581,30271641217.52715,20342979295.0456,15133600000.0
NetIncomeFromContinuingAndDiscontinuedOperation,9791000000.0,30175000000.0,20203000000.0,14692000000.0
TotalExpenses,93834000000.0,111282000000.0,98060000000.0,118663000000.0
TotalOperatingIncomeAsReported,18178000000.0,25899000000.0,28009000000.0,42582000000.0
DilutedAverageShares,,,905530000.0,
BasicAverageShares,,,905530000.0,
DilutedEPS,,,22.311,
BasicEPS,,,22.311,
DilutedNIAvailtoComStockholders,9791000000.0,30175000000.0,20203000000.0,14692000000.0
NetIncomeCommonStockholders,9791000000.0,30175000000.0,20203000000.0,14692000000.0
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0
NetIncome,9791000000.0,30175000000.0,20203000000.0,14692000000.0
MinorityInterests,-94000000.0,-25000000.0,-78000000.0,-64000000.0
NetIncomeIncludingNoncontrollingInterests,9885000000.0,30200000000.0,20282000000.0,14757000000.0
NetIncomeContinuousOperations,9885000000.0,30200000000.0,20282000000.0,14756000000.0
TaxProvision,341000000.0,9487000000.0,8117000000.0,11473000000.0
PretaxIncome,10226000000.0,39687000000.0,28399000000.0,26229000000.0
OtherNonOperatingIncomeExpenses,514000000.0,-419000000.0,-423000000.0,-1384000000.0
SpecialIncomeCharges,-17584000000.0,-127000000.0,-196000000.0,-575000000.0
OtherSpecialCharges,17584000000.0,127000000.0,196000000.0,-703000000.0
WriteOff,0.0,0.0,0.0,115000000.0
RestructuringAndMergernAcquisition,0.0,0.0,0.0,1163000000.0
NetNonOperatingInterestIncomeExpense,5339000000.0,4415000000.0,3867000000.0,3053000000.0
InterestExpenseNonOperating,37000000.0,58000000.0,57000000.0,54000000.0
InterestIncomeNonOperating,5376000000.0,4473000000.0,3924000000.0,3107000000.0
OperatingIncome,18179000000.0,25898000000.0,28010000000.0,42582000000.0
OperatingExpense,24966000000.0,25233000000.0,24290000000.0,24784000000.0
GrossProfit,43145000000.0,51131000000.0,52300000000.0,67366000000.0
CostOfRevenue,68868000000.0,86049000000.0,73770000000.0,93879000000.0
TotalRevenue,112014000000.0,137179000000.0,126071000000.0,161244000000.0
OperatingRevenue,112014000000.0,137179000000.0,126071000000.0,161244000000.0
