,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.188191,0.188205,0.188178,0.243316
NormalizedEBITDA,25311000.0,24954000.0,24303000.0,22562000.0
NetIncomeFromContinuingOperationNetMinorityInterest,15872000.0,15403000.0,14196000.0,13366000.0
ReconciledDepreciation,5046000.0,5333000.0,5410000.0,5595000.0
ReconciledCostOfRevenue,74753000.0,73635000.0,71692000.0,69158000.0
EBITDA,25311000.0,24954000.0,24303000.0,22562000.0
EBIT,20265000.0,19621000.0,18893000.0,16967000.0
NetInterestIncome,-551000.0,-562000.0,-1197000.0,465000.0
InterestExpense,551000.0,562000.0,,-611000.0
NormalizedIncome,15872000.0,15403000.0,14196000.0,13366000.0
NetIncomeFromContinuingAndDiscontinuedOperation,15872000.0,15403000.0,14196000.0,13366000.0
TotalExpenses,110440000.0,108678000.0,105828000.0,102982000.0
TotalOperatingIncomeAsReported,20265000.0,19621000.0,18893000.0,16481000.0
DilutedAverageShares,55813000.0,55582000.0,55570000.0,55521000.0
BasicAverageShares,55397000.0,55196000.0,55156000.0,55140000.0
DilutedEPS,0.28,0.28,0.26,0.24
BasicEPS,0.29,0.28,0.26,0.24
DilutedNIAvailtoComStockholders,15872000.0,15403000.0,14196000.0,13366000.0
NetIncomeCommonStockholders,15872000.0,15403000.0,14196000.0,13366000.0
NetIncome,15872000.0,15403000.0,14196000.0,13366000.0
MinorityInterests,-132000.0,-69000.0,-170000.0,65000.0
NetIncomeIncludingNoncontrollingInterests,16004000.0,15472000.0,14366000.0,13301000.0
NetIncomeContinuousOperations,16004000.0,15472000.0,14366000.0,13301000.0
TaxProvision,3710000.0,3587000.0,3330000.0,4277000.0
PretaxIncome,19714000.0,19059000.0,17696000.0,17578000.0
NetNonOperatingInterestIncomeExpense,-551000.0,-562000.0,-1197000.0,465000.0
TotalOtherFinanceCost,,,1197000.0,
InterestExpenseNonOperating,551000.0,562000.0,,-611000.0
OperatingIncome,20265000.0,19621000.0,18893000.0,16481000.0
OperatingExpense,35687000.0,35043000.0,34136000.0,33824000.0
ResearchAndDevelopment,16028000.0,15746000.0,15617000.0,15251000.0
SellingGeneralAndAdministration,19659000.0,19297000.0,18519000.0,18573000.0
GrossProfit,55952000.0,54664000.0,53029000.0,50305000.0
CostOfRevenue,74753000.0,73635000.0,71692000.0,69158000.0
TotalRevenue,130705000.0,128299000.0,124721000.0,119463000.0
OperatingRevenue,130705000.0,128299000.0,124721000.0,119463000.0
