,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-882000.0,-11382000.0,-1050000.0,2456692.913386
TaxRateForCalcs,0.21,0.21,0.21,0.15748
NormalizedEBITDA,82500000.0,83700000.0,100000000.0,99700000.0
TotalUnusualItems,-4200000.0,-54200000.0,-5000000.0,15600000.0
TotalUnusualItemsExcludingGoodwill,-4200000.0,-54200000.0,-5000000.0,15600000.0
NetIncomeFromContinuingOperationNetMinorityInterest,2000000.0,-49500000.0,11200000.0,31800000.0
ReconciledDepreciation,54000000.0,54100000.0,54800000.0,56300000.0
ReconciledCostOfRevenue,407800000.0,418400000.0,423300000.0,415800000.0
EBITDA,78300000.0,29500000.0,95000000.0,115300000.0
EBIT,24300000.0,-24600000.0,40200000.0,59000000.0
NetInterestIncome,-17400000.0,-19100000.0,-20400000.0,-20900000.0
InterestExpense,17400000.0,19100000.0,20400000.0,20900000.0
NormalizedIncome,5318000.0,-6682000.0,15150000.0,18656692.913386
NetIncomeFromContinuingAndDiscontinuedOperation,2000000.0,-49500000.0,11200000.0,31800000.0
TotalExpenses,625100000.0,639300000.0,639300000.0,626800000.0
TotalOperatingIncomeAsReported,24200000.0,-24000000.0,40000000.0,59100000.0
DilutedAverageShares,92900000.0,92500000.0,92700000.0,92500000.0
BasicAverageShares,92500000.0,92500000.0,92300000.0,92200000.0
DilutedEPS,0.02,-0.54,0.12,0.35
BasicEPS,0.02,-0.54,0.12,0.35
DilutedNIAvailtoComStockholders,2000000.0,-49500000.0,11200000.0,31800000.0
NetIncomeCommonStockholders,2000000.0,-49500000.0,11200000.0,31800000.0
NetIncome,2000000.0,-49500000.0,11200000.0,31800000.0
MinorityInterests,-100000.0,0.0,100000.0,300000.0
NetIncomeIncludingNoncontrollingInterests,2100000.0,-49500000.0,11300000.0,32100000.0
NetIncomeContinuousOperations,2100000.0,-49500000.0,11300000.0,32100000.0
TaxProvision,4800000.0,5800000.0,8500000.0,6000000.0
PretaxIncome,6900000.0,-43700000.0,19800000.0,38100000.0
OtherIncomeExpense,-4100000.0,-54800000.0,-4800000.0,15500000.0
OtherNonOperatingIncomeExpenses,100000.0,-600000.0,200000.0,-100000.0
SpecialIncomeCharges,-4200000.0,-54200000.0,-5000000.0,15600000.0
GainOnSaleOfBusiness,-4200000.0,-54200000.0,-5000000.0,15600000.0
NetNonOperatingInterestIncomeExpense,-17400000.0,-19100000.0,-20400000.0,-20900000.0
InterestExpenseNonOperating,17400000.0,19100000.0,20400000.0,20900000.0
OperatingIncome,28400000.0,30200000.0,45000000.0,43500000.0
OperatingExpense,217300000.0,220900000.0,216000000.0,211000000.0
SellingGeneralAndAdministration,217300000.0,220900000.0,216000000.0,211000000.0
GrossProfit,245700000.0,251100000.0,261000000.0,254500000.0
CostOfRevenue,407800000.0,418400000.0,423300000.0,415800000.0
TotalRevenue,653500000.0,669500000.0,684300000.0,670300000.0
OperatingRevenue,653500000.0,669500000.0,684300000.0,670300000.0
