,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-395824.0,-540540.0,7140.0,67372.804817
TaxRateForCalcs,0.286,0.286,0.21,0.021074
NormalizedEBITDA,9022000.0,11936000.0,3886000.0,-847000.0
TotalUnusualItems,-1384000.0,-1890000.0,34000.0,3197000.0
TotalUnusualItemsExcludingGoodwill,-1384000.0,-1890000.0,34000.0,3197000.0
NetIncomeFromContinuingOperationNetMinorityInterest,4817000.0,6064000.0,2710000.0,5853000.0
ReconciledDepreciation,1343000.0,1449000.0,1120000.0,1386000.0
ReconciledCostOfRevenue,16670000.0,21580000.0,15966000.0,14259000.0
EBITDA,7638000.0,10046000.0,3920000.0,2350000.0
EBIT,6295000.0,8597000.0,2800000.0,964000.0
NetInterestIncome,1690000.0,1775000.0,1822000.0,1514000.0
NormalizedIncome,5805176.0,7413460.0,2683140.0,2723372.804817
NetIncomeFromContinuingAndDiscontinuedOperation,4817000.0,6064000.0,2710000.0,5853000.0
TotalExpenses,74013000.0,83709000.0,70728000.0,63080000.0
TotalOperatingIncomeAsReported,6295000.0,8597000.0,2800000.0,964000.0
DilutedAverageShares,49370000.0,49516000.0,49500000.0,49389000.0
BasicAverageShares,48613000.0,48418000.0,48247000.0,48203000.0
DilutedEPS,0.1,0.12,0.05,0.12
BasicEPS,0.1,0.13,0.06,0.13
DilutedNIAvailtoComStockholders,4817000.0,6064000.0,2710000.0,5853000.0
NetIncomeCommonStockholders,4817000.0,6064000.0,2710000.0,5853000.0
NetIncome,4817000.0,6064000.0,2710000.0,5853000.0
NetIncomeIncludingNoncontrollingInterests,4817000.0,6064000.0,2710000.0,5853000.0
NetIncomeContinuousOperations,4817000.0,6064000.0,2710000.0,5853000.0
TaxProvision,1929000.0,2428000.0,2009000.0,126000.0
PretaxIncome,6746000.0,8492000.0,4719000.0,5979000.0
OtherIncomeExpense,-1239000.0,-1880000.0,97000.0,3501000.0
OtherNonOperatingIncomeExpenses,145000.0,10000.0,63000.0,304000.0
GainOnSaleOfSecurity,-1384000.0,-1890000.0,34000.0,3197000.0
NetNonOperatingInterestIncomeExpense,1690000.0,1775000.0,1822000.0,1514000.0
TotalOtherFinanceCost,-1690000.0,-1775000.0,-1822000.0,-1514000.0
OperatingIncome,6295000.0,8597000.0,2800000.0,964000.0
OperatingExpense,57343000.0,62129000.0,54762000.0,48821000.0
ResearchAndDevelopment,11470000.0,11755000.0,10310000.0,9790000.0
SellingGeneralAndAdministration,45873000.0,50374000.0,44452000.0,39031000.0
SellingAndMarketingExpense,26607000.0,32277000.0,26354000.0,24223000.0
GeneralAndAdministrativeExpense,19266000.0,18097000.0,18098000.0,14808000.0
OtherGandA,19266000.0,18097000.0,18098000.0,14808000.0
GrossProfit,63638000.0,70726000.0,57562000.0,49785000.0
CostOfRevenue,16670000.0,21580000.0,15966000.0,14259000.0
TotalRevenue,80308000.0,92306000.0,73528000.0,64044000.0
OperatingRevenue,80308000.0,92306000.0,73528000.0,64044000.0
