,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.21,0.21,0.21,0.21
NormalizedEBITDA,58082000.0,53772000.0,57762000.0,45698000.0
TotalUnusualItems,0.0,0.0,,0.0
TotalUnusualItemsExcludingGoodwill,0.0,0.0,,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,-3172000.0,260000.0,-5621000.0,-10411000.0
ReconciledDepreciation,19678000.0,21114000.0,22018000.0,20874000.0
ReconciledCostOfRevenue,13304000.0,12938000.0,12817000.0,13690000.0
EBITDA,58082000.0,53772000.0,57762000.0,45698000.0
EBIT,38404000.0,32658000.0,35744000.0,24824000.0
NetInterestIncome,-29314000.0,-29443000.0,-28581000.0,-25705000.0
InterestExpense,29314000.0,29443000.0,28581000.0,25705000.0
NormalizedIncome,-3172000.0,260000.0,-5621000.0,-10411000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-3172000.0,260000.0,-5621000.0,-10411000.0
TotalExpenses,151066000.0,152389000.0,150143000.0,159032000.0
TotalOperatingIncomeAsReported,38525000.0,32645000.0,35833000.0,28037000.0
DilutedAverageShares,165275000.0,164193000.0,162773000.0,161721000.0
BasicAverageShares,165275000.0,164193000.0,162773000.0,161721000.0
DilutedEPS,-0.02,0.001584,-0.03,-0.06
BasicEPS,-0.02,0.001584,-0.03,-0.06
DilutedNIAvailtoComStockholders,-3172000.0,260000.0,-5621000.0,-10411000.0
NetIncomeCommonStockholders,-3172000.0,260000.0,-5621000.0,-10411000.0
OtherunderPreferredStockDividend,,0.0,,
NetIncome,-3172000.0,260000.0,-5621000.0,-10411000.0
NetIncomeIncludingNoncontrollingInterests,-3172000.0,260000.0,-5621000.0,-10411000.0
NetIncomeDiscontinuousOperations,,,,0.0
NetIncomeContinuousOperations,-3172000.0,260000.0,-5621000.0,-10411000.0
TaxProvision,12262000.0,2955000.0,12784000.0,9530000.0
PretaxIncome,9090000.0,3215000.0,7163000.0,-881000.0
OtherIncomeExpense,-121000.0,13000.0,-89000.0,-3213000.0
OtherNonOperatingIncomeExpenses,-121000.0,13000.0,-89000.0,-3213000.0
SpecialIncomeCharges,0.0,0.0,,0.0
ImpairmentOfCapitalAssets,0.0,0.0,,0.0
NetNonOperatingInterestIncomeExpense,-29314000.0,-29443000.0,-28581000.0,-25705000.0
InterestExpenseNonOperating,29314000.0,29443000.0,28581000.0,25705000.0
OperatingIncome,38525000.0,32645000.0,35833000.0,28037000.0
OperatingExpense,129697000.0,130431000.0,128313000.0,137406000.0
DepreciationAmortizationDepletionIncomeStatement,11613000.0,12094000.0,13005000.0,12938000.0
DepreciationAndAmortizationInIncomeStatement,11613000.0,12094000.0,13005000.0,12938000.0
Amortization,11613000.0,12094000.0,13005000.0,12938000.0
AmortizationOfIntangiblesIncomeStatement,11613000.0,12094000.0,13005000.0,12938000.0
ResearchAndDevelopment,27308000.0,24081000.0,23791000.0,24238000.0
SellingGeneralAndAdministration,90776000.0,94256000.0,91517000.0,100230000.0
SellingAndMarketingExpense,59675000.0,59838000.0,65916000.0,67274000.0
GeneralAndAdministrativeExpense,31101000.0,34418000.0,25601000.0,32956000.0
OtherGandA,31101000.0,34418000.0,25601000.0,32956000.0
GrossProfit,168222000.0,163076000.0,164146000.0,165443000.0
CostOfRevenue,21369000.0,21958000.0,21830000.0,21626000.0
TotalRevenue,189591000.0,185034000.0,185976000.0,187069000.0
OperatingRevenue,189591000.0,185034000.0,185976000.0,187069000.0
