,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,3780.0,37128.0,-27011088.0,-115056309.463563
TaxRateForCalcs,0.21,0.136,0.376,0.25291
NormalizedEBITDA,180197000.0,215807000.0,338017000.0,283116000.0
TotalUnusualItems,18000.0,273000.0,-71838000.0,-454930000.0
TotalUnusualItemsExcludingGoodwill,18000.0,273000.0,-71838000.0,-454930000.0
NetIncomeFromContinuingOperationNetMinorityInterest,3231000.0,28878000.0,45911000.0,-280584000.0
ReconciledDepreciation,105520000.0,111705000.0,112520000.0,122866000.0
ReconciledCostOfRevenue,982594000.0,1075565000.0,1260125000.0,1108485000.0
EBITDA,180215000.0,216080000.0,266179000.0,-171814000.0
EBIT,74695000.0,104375000.0,153659000.0,-294680000.0
NetInterestIncome,-58749000.0,-54832000.0,-64863000.0,-70980000.0
InterestExpense,71998000.0,69347000.0,77334000.0,76808000.0
InterestIncome,13249000.0,14515000.0,12471000.0,5828000.0
NormalizedIncome,3216780.0,28642128.0,90737912.0,59289690.536437
NetIncomeFromContinuingAndDiscontinuedOperation,3231000.0,28878000.0,45911000.0,-280584000.0
TotalExpenses,1109444000.0,1208895000.0,1396605000.0,1254219000.0
TotalOperatingIncomeAsReported,60231000.0,84771000.0,135199000.0,-288489000.0
DilutedAverageShares,71851000.0,71722000.0,68419000.0,67200000.0
BasicAverageShares,71626000.0,71536000.0,68265000.0,67200000.0
DilutedEPS,0.04,0.4,0.67,-4.18
BasicEPS,0.05,0.4,0.67,-4.18
DilutedNIAvailtoComStockholders,3231000.0,28878000.0,45911000.0,-280584000.0
NetIncomeCommonStockholders,3231000.0,28878000.0,45911000.0,-280584000.0
NetIncome,3231000.0,28878000.0,45911000.0,-280584000.0
MinorityInterests,-736000.0,-1381000.0,-1739000.0,-3049000.0
NetIncomeIncludingNoncontrollingInterests,3967000.0,30259000.0,47650000.0,-277535000.0
NetIncomeContinuousOperations,3967000.0,30259000.0,47650000.0,-277535000.0
TaxProvision,-1270000.0,4769000.0,28675000.0,-93953000.0
PretaxIncome,2697000.0,35028000.0,76325000.0,-371488000.0
OtherIncomeExpense,1398000.0,5110000.0,-65511000.0,-467181000.0
OtherNonOperatingIncomeExpenses,1238000.0,4748000.0,5967000.0,-13013000.0
SpecialIncomeCharges,0.0,0.0,-71148000.0,-455872000.0
OtherSpecialCharges,,,-82000.0,447000.0
ImpairmentOfCapitalAssets,0.0,0.0,71230000.0,
EarningsFromEquityInterest,142000.0,89000.0,360000.0,762000.0
GainOnSaleOfSecurity,18000.0,273000.0,-690000.0,942000.0
NetNonOperatingInterestIncomeExpense,-58749000.0,-54832000.0,-64863000.0,-70980000.0
InterestExpenseNonOperating,71998000.0,69347000.0,77334000.0,76808000.0
InterestIncomeNonOperating,13249000.0,14515000.0,12471000.0,5828000.0
OperatingIncome,60048000.0,84750000.0,206699000.0,166673000.0
OperatingExpense,126850000.0,133330000.0,136480000.0,145734000.0
OtherTaxes,21147000.0,21604000.0,24230000.0,22605000.0
DepreciationAmortizationDepletionIncomeStatement,105520000.0,111705000.0,112520000.0,122866000.0
DepreciationAndAmortizationInIncomeStatement,105520000.0,111705000.0,112520000.0,122866000.0
SellingGeneralAndAdministration,183000.0,21000.0,-270000.0,
GeneralAndAdministrativeExpense,183000.0,21000.0,-270000.0,
OtherGandA,183000.0,21000.0,-270000.0,
GrossProfit,186898000.0,218080000.0,343179000.0,312407000.0
CostOfRevenue,982594000.0,1075565000.0,1260125000.0,1108485000.0
TotalRevenue,1169492000.0,1293645000.0,1603304000.0,1420892000.0
OperatingRevenue,1169492000.0,1293645000.0,1603304000.0,1420892000.0
