,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,148512.0,99584.0,77184.0,153382.602906
TaxRateForCalcs,0.273,0.256,0.268,0.288313
TotalUnusualItems,544000.0,389000.0,288000.0,532000.0
TotalUnusualItemsExcludingGoodwill,544000.0,389000.0,288000.0,532000.0
NetIncomeFromContinuingOperationNetMinorityInterest,30590000.0,24892000.0,35833000.0,36343000.0
ReconciledDepreciation,4734000.0,4897000.0,4961000.0,4826000.0
NetInterestIncome,87790000.0,88303000.0,93032000.0,98596000.0
InterestExpense,24257000.0,18557000.0,9571000.0,4089000.0
InterestIncome,112047000.0,106860000.0,102603000.0,102685000.0
NormalizedIncome,30194512.0,24602584.0,35622184.0,35964382.602906
NetIncomeFromContinuingAndDiscontinuedOperation,30590000.0,24892000.0,35833000.0,36343000.0
DilutedAverageShares,33319000.0,33302000.0,33438000.0,33467393.0
BasicAverageShares,33263000.0,33219000.0,33296000.0,33330029.0
DilutedEPS,0.92,0.75,1.07,1.09
BasicEPS,0.92,0.75,1.08,1.09
DilutedNIAvailtoComStockholders,30590000.0,24892000.0,35833000.0,36343000.0
NetIncomeCommonStockholders,30590000.0,24892000.0,35833000.0,36343000.0
NetIncome,30590000.0,24892000.0,35833000.0,36343000.0
NetIncomeIncludingNoncontrollingInterests,30590000.0,24892000.0,35833000.0,36343000.0
NetIncomeContinuousOperations,30590000.0,24892000.0,35833000.0,36343000.0
TaxProvision,11484000.0,8557000.0,13149000.0,14723000.0
PretaxIncome,42074000.0,33449000.0,48982000.0,51066000.0
SpecialIncomeCharges,-4000.0,-18000.0,0.0,1000.0
OtherSpecialCharges,4000.0,18000.0,,-1000.0
RestructuringAndMergernAcquisition,0.0,0.0,0.0,0.0
GainOnSaleOfSecurity,-81000.0,-42000.0,-122000.0,6000.0
DepreciationAmortizationDepletionIncomeStatement,1590000.0,1656000.0,1656000.0,1702000.0
DepreciationAndAmortizationInIncomeStatement,1590000.0,1656000.0,1656000.0,1702000.0
Amortization,1590000.0,1656000.0,1656000.0,1702000.0
AmortizationOfIntangiblesIncomeStatement,1590000.0,1656000.0,1656000.0,1702000.0
SellingGeneralAndAdministration,35344000.0,35730000.0,33322000.0,37860000.0
SellingAndMarketingExpense,881000.0,1016000.0,759000.0,1249000.0
GeneralAndAdministrativeExpense,34463000.0,34714000.0,32563000.0,36611000.0
SalariesAndWages,34463000.0,34714000.0,32563000.0,36611000.0
TotalRevenue,102653000.0,102440000.0,105262000.0,112881000.0
OperatingRevenue,102653000.0,102440000.0,105262000.0,112881000.0
