,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,666195.85188,-29820.0,-7676130.0
TaxRateForCalcs,0.387159,0.251965,0.21,0.21
NormalizedEBITDA,36030000.0,38248000.0,19393000.0,30997000.0
TotalUnusualItems,0.0,2644000.0,-142000.0,-36553000.0
TotalUnusualItemsExcludingGoodwill,0.0,2644000.0,-142000.0,-36553000.0
NetIncomeFromContinuingOperationNetMinorityInterest,9879000.0,15797000.0,-714000.0,-24616000.0
ReconciledDepreciation,11747000.0,11456000.0,11274000.0,10897000.0
ReconciledCostOfRevenue,200748000.0,217796000.0,199919000.0,230112000.0
EBITDA,36030000.0,40892000.0,19251000.0,-5556000.0
EBIT,24283000.0,29436000.0,7977000.0,-16453000.0
NetInterestIncome,-8163000.0,-8318000.0,-8505000.0,-8142000.0
InterestExpense,8163000.0,8318000.0,8505000.0,8142000.0
NormalizedIncome,9879000.0,13819195.85188,-601820.0,4260870.0
NetIncomeFromContinuingAndDiscontinuedOperation,9879000.0,15797000.0,-714000.0,-24616000.0
TotalExpenses,280021000.0,303318000.0,286173000.0,313591000.0
TotalOperatingIncomeAsReported,30985000.0,28908000.0,9477000.0,-14589000.0
DilutedAverageShares,58342000.0,58170000.0,58079000.0,58166000.0
BasicAverageShares,58107000.0,58074000.0,58079000.0,58166000.0
DilutedEPS,0.17,0.27,-0.01,-0.42
BasicEPS,0.17,0.27,-0.01,-0.42
DilutedNIAvailtoComStockholders,9762000.0,15608000.0,-723000.0,-24223000.0
NetIncomeCommonStockholders,9762000.0,15608000.0,-723000.0,-24223000.0
OtherunderPreferredStockDividend,117000.0,189000.0,9000.0,-393000.0
NetIncome,9879000.0,15797000.0,-714000.0,-24616000.0
NetIncomeIncludingNoncontrollingInterests,9879000.0,15797000.0,-714000.0,-24616000.0
NetIncomeContinuousOperations,9879000.0,15797000.0,-714000.0,-24616000.0
TaxProvision,6241000.0,5321000.0,186000.0,21000.0
PretaxIncome,16120000.0,21118000.0,-528000.0,-24595000.0
OtherIncomeExpense,-6702000.0,3172000.0,-1642000.0,-38417000.0
OtherNonOperatingIncomeExpenses,-6702000.0,528000.0,-1500000.0,-1864000.0
SpecialIncomeCharges,0.0,2644000.0,-142000.0,-36553000.0
RestructuringAndMergernAcquisition,0.0,-2644000.0,142000.0,373000.0
NetNonOperatingInterestIncomeExpense,-8163000.0,-8318000.0,-8505000.0,-8142000.0
InterestExpenseNonOperating,8163000.0,8318000.0,8505000.0,8142000.0
OperatingIncome,30985000.0,26264000.0,9619000.0,21964000.0
OperatingExpense,79273000.0,85522000.0,86254000.0,83479000.0
SellingGeneralAndAdministration,79273000.0,85522000.0,86254000.0,83479000.0
GrossProfit,110258000.0,111786000.0,95873000.0,105443000.0
CostOfRevenue,200748000.0,217796000.0,199919000.0,230112000.0
TotalRevenue,311006000.0,329582000.0,295792000.0,335555000.0
OperatingRevenue,311006000.0,329582000.0,295792000.0,335555000.0
