,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,733855.852397,-245480.0,8731212.581478,15636612.070548
TaxRateForCalcs,0.118824,0.34,0.258389,0.133143
NormalizedEBITDA,3235797000.0,3189616000.0,2688526000.0,2846927000.0
TotalUnusualItems,6176000.0,-722000.0,33791000.0,117442000.0
TotalUnusualItemsExcludingGoodwill,6176000.0,-722000.0,33791000.0,117442000.0
NetIncomeFromContinuingOperationNetMinorityInterest,716005000.0,626472000.0,412436000.0,538188000.0
ReconciledDepreciation,1755400000.0,1834574000.0,1777090000.0,1858247000.0
ReconciledCostOfRevenue,2838833000.0,2932540000.0,1213069000.0,2869600000.0
EBITDA,3241973000.0,3188894000.0,2722317000.0,2964369000.0
EBIT,1486573000.0,1354320000.0,945227000.0,1106122000.0
NetInterestIncome,-412492000.0,-425081000.0,-240118000.0,-394313000.0
InterestExpense,674017000.0,741297000.0,389092000.0,485272000.0
InterestIncome,261525000.0,316216000.0,297367000.0,204567000.0
NormalizedIncome,710562855.852397,626948520.0,387376212.581478,436382612.070548
NetIncomeFromContinuingAndDiscontinuedOperation,716005000.0,626472000.0,412436000.0,538188000.0
TotalExpenses,4811707000.0,4801348000.0,4871178000.0,4944405000.0
RentExpenseSupplemental,,,167378000.0,95148000.0
TotalOperatingIncomeAsReported,1218872000.0,1038826000.0,,
DilutedAverageShares,477336667.0,481901538.0,484160400.0,484158430.0
BasicAverageShares,477336667.0,481901538.0,484160400.0,484158430.0
DilutedEPS,1.5,1.3,0.85,1.111207
BasicEPS,1.5,1.3,0.85,1.111207
DilutedNIAvailtoComStockholders,716005000.0,626472000.0,412436000.0,538188000.0
NetIncomeCommonStockholders,716005000.0,626472000.0,412436000.0,538188000.0
NetIncome,716005000.0,626472000.0,412436000.0,538188000.0
NetIncomeIncludingNoncontrollingInterests,716005000.0,626472000.0,412436000.0,538188000.0
NetIncomeContinuousOperations,716005000.0,626472000.0,412436000.0,538188000.0
TaxProvision,96551000.0,-13449000.0,143699000.0,82662000.0
PretaxIncome,812556000.0,613023000.0,556135000.0,620850000.0
OtherIncomeExpense,-18564000.0,-23808000.0,27276000.0,135203000.0
OtherNonOperatingIncomeExpenses,,,12077000.0,
SpecialIncomeCharges,,,17049000.0,
GainOnSaleOfPPE,,,236000.0,
OtherSpecialCharges,,,-16813000.0,
EarningsFromEquityInterest,-24740000.0,-23086000.0,-18592000.0,-22589000.0
GainOnSaleOfSecurity,6176000.0,-722000.0,16742000.0,44235000.0
NetNonOperatingInterestIncomeExpense,-412492000.0,-425081000.0,-240118000.0,-394313000.0
TotalOtherFinanceCost,,,148393000.0,113608000.0
InterestExpenseNonOperating,674017000.0,741297000.0,389092000.0,485272000.0
InterestIncomeNonOperating,261525000.0,316216000.0,297367000.0,204567000.0
OperatingIncome,1243612000.0,1061912000.0,768977000.0,879960000.0
OperatingExpense,1972874000.0,1868808000.0,2059486000.0,2074805000.0
OtherOperatingExpenses,96142000.0,77782000.0,129399000.0,170044000.0
OtherTaxes,,,238450000.0,-16762000.0
ProvisionForDoubtfulAccounts,,,159799000.0,
DepreciationAmortizationDepletionIncomeStatement,,,178467000.0,
DepreciationAndAmortizationInIncomeStatement,,,178467000.0,
SellingGeneralAndAdministration,1876732000.0,1791026000.0,1353371000.0,2274514000.0
SellingAndMarketingExpense,1435297000.0,1372827000.0,767209000.0,1453347000.0
GeneralAndAdministrativeExpense,441435000.0,418199000.0,586162000.0,821167000.0
OtherGandA,441435000.0,418199000.0,231813000.0,1163696000.0
RentAndLandingFees,,,41074000.0,
SalariesAndWages,,,313275000.0,
GrossProfit,3216486000.0,2930720000.0,2828463000.0,2954765000.0
CostOfRevenue,2838833000.0,2932540000.0,2811692000.0,2869600000.0
TotalRevenue,6055319000.0,5863260000.0,5640155000.0,5824365000.0
ExciseTaxes,,,921132000.0,
OperatingRevenue,6055319000.0,5863260000.0,7922021000.0,14006947000.0
