,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.254,0.247,0.239,0.239918,0.245
NormalizedEBITDA,54460000.0,52978000.0,44933000.0,32725000.0,63892000.0
TotalUnusualItems,,,,0.0,0.0
TotalUnusualItemsExcludingGoodwill,,,,0.0,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,30193000.0,31321000.0,26965000.0,18112000.0,41257000.0
ReconciledDepreciation,8234000.0,7689000.0,6948000.0,6841000.0,7369000.0
ReconciledCostOfRevenue,555774000.0,509169000.0,451051000.0,474117000.0,529193000.0
EBITDA,54460000.0,52978000.0,44933000.0,32725000.0,63892000.0
EBIT,46226000.0,45289000.0,37985000.0,25884000.0,56523000.0
NetInterestIncome,-5774000.0,-3057000.0,-1826000.0,-1362000.0,-41000.0
InterestExpense,5774000.0,3698000.0,2546000.0,2055000.0,1845000.0
InterestIncome,,641000.0,720000.0,693000.0,1804000.0
NormalizedIncome,30193000.0,31321000.0,26965000.0,18112000.0,41257000.0
NetIncomeFromContinuingAndDiscontinuedOperation,30193000.0,31321000.0,26965000.0,18112000.0,41257000.0
TotalExpenses,647889000.0,597920000.0,532366000.0,557792000.0,614054000.0
TotalOperatingIncomeAsReported,46226000.0,44648000.0,37265000.0,25191000.0,54719000.0
DilutedAverageShares,22862706.0,22863628.0,22669000.0,22697761.0,22399000.0
BasicAverageShares,22862706.0,22863628.0,22669000.0,22697761.0,22393000.0
DilutedEPS,1.32,1.369905,1.18951,0.797964,1.82
BasicEPS,1.320622,1.369905,1.18951,0.797964,1.82
DilutedNIAvailtoComStockholders,29728000.0,30921000.0,26670000.0,19151000.0,40694000.0
NetIncomeCommonStockholders,29728000.0,30921000.0,26670000.0,19151000.0,40694000.0
OtherunderPreferredStockDividend,465000.0,400000.0,295000.0,,563000.0
NetIncome,30193000.0,31321000.0,26965000.0,18112000.0,41257000.0
NetIncomeIncludingNoncontrollingInterests,30193000.0,31321000.0,26965000.0,18112000.0,41257000.0
NetIncomeContinuousOperations,30193000.0,31321000.0,26965000.0,18112000.0,41257000.0
TaxProvision,10259000.0,10270000.0,8474000.0,5717000.0,13421000.0
PretaxIncome,40452000.0,41591000.0,35439000.0,23829000.0,54678000.0
SpecialIncomeCharges,,,,0.0,0.0
ImpairmentOfCapitalAssets,,,,0.0,0.0
NetNonOperatingInterestIncomeExpense,-5774000.0,-3057000.0,-1826000.0,-1362000.0,-41000.0
InterestExpenseNonOperating,5774000.0,3698000.0,2546000.0,2055000.0,1845000.0
InterestIncomeNonOperating,,641000.0,720000.0,693000.0,1804000.0
OperatingIncome,46226000.0,44648000.0,37265000.0,25191000.0,54719000.0
OperatingExpense,92115000.0,88751000.0,81315000.0,83675000.0,84861000.0
GrossProfit,138341000.0,133399000.0,118580000.0,108866000.0,139580000.0
CostOfRevenue,555774000.0,509169000.0,451051000.0,474117000.0,529193000.0
TotalRevenue,694115000.0,642568000.0,569631000.0,582983000.0,668773000.0
OperatingRevenue,694115000.0,642568000.0,569631000.0,582983000.0,668773000.0
