,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,36000.0,-5460000.0,0.0,-1470000.0
TaxRateForCalcs,0.002,0.21,0.0,0.21
NormalizedEBITDA,-69000000.0,-46000000.0,-89000000.0,-86000000.0
TotalUnusualItems,18000000.0,-26000000.0,3000000.0,-7000000.0
TotalUnusualItemsExcludingGoodwill,18000000.0,-26000000.0,3000000.0,-7000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-31000000.0,-98000000.0,-81000000.0,-100000000.0
ReconciledDepreciation,8000000.0,8000000.0,6000000.0,6000000.0
ReconciledCostOfRevenue,806000000.0,770000000.0,645000000.0,610000000.0
EBITDA,-51000000.0,-72000000.0,-86000000.0,-93000000.0
EBIT,-59000000.0,-80000000.0,-92000000.0,-99000000.0
NetInterestIncome,10000000.0,9000000.0,8000000.0,6000000.0
InterestIncome,10000000.0,9000000.0,,6000000.0
NormalizedIncome,-48964000.0,-77460000.0,-84000000.0,-94470000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-31000000.0,-98000000.0,-81000000.0,-100000000.0
TotalExpenses,1091000000.0,1058000000.0,911000000.0,867000000.0
TotalOperatingIncomeAsReported,-59000000.0,-80000000.0,-92000000.0,-99000000.0
DilutedAverageShares,536534932.0,529226266.0,524876023.0,518536635.0
BasicAverageShares,535219532.0,529226266.0,524099376.0,518536635.0
DilutedEPS,-0.09,-0.19,-0.16,-0.19
BasicEPS,-0.06,-0.19,-0.15,-0.19
DilutedNIAvailtoComStockholders,-49000000.0,-98000000.0,-84000000.0,2000000.0
AverageDilutionEarnings,-18000000.0,0.0,-3000000.0,
NetIncomeCommonStockholders,-31000000.0,-98000000.0,-81000000.0,-100000000.0
NetIncome,-31000000.0,-98000000.0,-81000000.0,-100000000.0
NetIncomeIncludingNoncontrollingInterests,-31000000.0,-98000000.0,-81000000.0,-100000000.0
NetIncomeContinuousOperations,-31000000.0,-98000000.0,-81000000.0,-100000000.0
TaxProvision,0.0,1000000.0,0.0,2000000.0
PretaxIncome,-31000000.0,-97000000.0,-81000000.0,-98000000.0
OtherIncomeExpense,18000000.0,-26000000.0,3000000.0,-5000000.0
OtherNonOperatingIncomeExpenses,,,,2000000.0
SpecialIncomeCharges,,,,0.0
GainOnSaleOfSecurity,18000000.0,-26000000.0,3000000.0,-7000000.0
NetNonOperatingInterestIncomeExpense,10000000.0,9000000.0,8000000.0,6000000.0
TotalOtherFinanceCost,,,-8000000.0,
InterestIncomeNonOperating,10000000.0,9000000.0,,6000000.0
OperatingIncome,-59000000.0,-80000000.0,-92000000.0,-99000000.0
OperatingExpense,285000000.0,288000000.0,266000000.0,257000000.0
ResearchAndDevelopment,87000000.0,92000000.0,85000000.0,79000000.0
SellingGeneralAndAdministration,198000000.0,196000000.0,181000000.0,178000000.0
SellingAndMarketingExpense,100000000.0,100000000.0,99000000.0,87000000.0
GeneralAndAdministrativeExpense,98000000.0,96000000.0,82000000.0,91000000.0
OtherGandA,98000000.0,96000000.0,82000000.0,91000000.0
GrossProfit,226000000.0,208000000.0,174000000.0,158000000.0
CostOfRevenue,806000000.0,770000000.0,645000000.0,610000000.0
TotalRevenue,1032000000.0,978000000.0,819000000.0,768000000.0
OperatingRevenue,1032000000.0,978000000.0,819000000.0,768000000.0
