,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-416340.0,-890880.0,-1013544.0,-6548055.972765
TaxRateForCalcs,0.257,0.256,0.252,0.193101
NormalizedEBITDA,21863000.0,22075000.0,19389000.0,19633000.0
TotalUnusualItems,-1620000.0,-3480000.0,-4022000.0,-33910000.0
TotalUnusualItemsExcludingGoodwill,-1620000.0,-3480000.0,-4022000.0,-33910000.0
NetIncomeFromContinuingOperationNetMinorityInterest,10831000.0,9925000.0,7597000.0,-16317000.0
ReconciledDepreciation,1626000.0,1530000.0,1547000.0,1315000.0
ReconciledCostOfRevenue,50100000.0,53117000.0,52339000.0,53829000.0
EBITDA,20243000.0,18595000.0,15367000.0,-14277000.0
EBIT,18617000.0,17065000.0,13820000.0,-15592000.0
NetInterestIncome,-3984000.0,-4019000.0,-4010000.0,-4382000.0
InterestExpense,3984000.0,4019000.0,4010000.0,4382000.0
NormalizedIncome,12034660.0,12514120.0,10605456.0,11044944.027235
NetIncomeFromContinuingAndDiscontinuedOperation,10831000.0,9925000.0,7597000.0,-16317000.0
TotalExpenses,81485000.0,85050000.0,83114000.0,85074000.0
TotalOperatingIncomeAsReported,20237000.0,20545000.0,17842000.0,18318000.0
DilutedAverageShares,20098450.0,20409943.0,20669152.0,17530278.0
BasicAverageShares,17595980.0,17584241.0,17531414.0,17530278.0
DilutedEPS,0.58,0.53,0.41,-0.93
BasicEPS,0.62,0.56,0.43,-0.93
DilutedNIAvailtoComStockholders,11574000.0,10771000.0,8551000.0,-19479000.0
AverageDilutionEarnings,743000.0,846000.0,954000.0,-3162000.0
NetIncomeCommonStockholders,10831000.0,9925000.0,7597000.0,-16317000.0
NetIncome,10831000.0,9925000.0,7597000.0,-16317000.0
MinorityInterests,-35000.0,217000.0,255000.0,-200000.0
NetIncomeIncludingNoncontrollingInterests,10866000.0,9708000.0,7342000.0,-16117000.0
NetIncomeContinuousOperations,10866000.0,9708000.0,7342000.0,-16117000.0
TaxProvision,3767000.0,3338000.0,2468000.0,-3857000.0
PretaxIncome,14633000.0,13046000.0,9810000.0,-19974000.0
OtherIncomeExpense,-1620000.0,-3480000.0,-4022000.0,-33910000.0
SpecialIncomeCharges,481000.0,600000.0,777000.0,-26681000.0
OtherSpecialCharges,-481000.0,-600000.0,-777000.0,
GainOnSaleOfSecurity,-2101000.0,-4080000.0,-4799000.0,-7229000.0
NetNonOperatingInterestIncomeExpense,-3984000.0,-4019000.0,-4010000.0,-4382000.0
InterestExpenseNonOperating,3984000.0,4019000.0,4010000.0,4382000.0
OperatingIncome,20237000.0,20545000.0,17842000.0,18318000.0
OperatingExpense,31385000.0,31933000.0,30775000.0,31245000.0
SellingGeneralAndAdministration,31385000.0,31933000.0,30775000.0,31245000.0
GrossProfit,51622000.0,52478000.0,48617000.0,49563000.0
CostOfRevenue,50100000.0,53117000.0,52339000.0,53829000.0
TotalRevenue,101722000.0,105595000.0,100956000.0,103392000.0
OperatingRevenue,101722000.0,105595000.0,100956000.0,103392000.0
