,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-7985600.0,26808800.0,46752300.0,4720164.609053
TaxRateForCalcs,0.248,0.248,0.287,0.255144
NormalizedEBITDA,715700000.0,489900000.0,356500000.0,836700000.0
TotalUnusualItems,-32200000.0,108100000.0,162900000.0,18500000.0
TotalUnusualItemsExcludingGoodwill,-32200000.0,108100000.0,162900000.0,18500000.0
NetIncomeFromContinuingOperationNetMinorityInterest,453200000.0,476400000.0,421500000.0,266000000.0
ReconciledDepreciation,63700000.0,59100000.0,58800000.0,479800000.0
ReconciledCostOfRevenue,784400000.0,793700000.0,797100000.0,825500000.0
EBITDA,683500000.0,598000000.0,519400000.0,855200000.0
EBIT,619800000.0,538900000.0,460600000.0,375400000.0
NormalizedIncome,477414400.0,395108800.0,305352300.0,252220164.609053
NetIncomeFromContinuingAndDiscontinuedOperation,453200000.0,476400000.0,421500000.0,266000000.0
TotalExpenses,1050900000.0,1071300000.0,1077000000.0,1148800000.0
RentExpenseSupplemental,159700000.0,154700000.0,,
TotalOperatingIncomeAsReported,581300000.0,533500000.0,484200000.0,253100000.0
DilutedAverageShares,224800000.0,225200000.0,225200000.0,224600000.0
BasicAverageShares,224100000.0,224400000.0,224400000.0,223700000.0
DilutedEPS,1.97,2.06,1.83,1.16
BasicEPS,1.98,2.07,1.83,1.16
DilutedNIAvailtoComStockholders,442600000.0,464800000.0,411000000.0,259500000.0
NetIncomeCommonStockholders,442600000.0,464800000.0,411000000.0,259500000.0
OtherunderPreferredStockDividend,10600000.0,11600000.0,10500000.0,6500000.0
NetIncome,453200000.0,476400000.0,421500000.0,266000000.0
MinorityInterests,14000000.0,-4800000.0,-20200000.0,-23600000.0
NetIncomeIncludingNoncontrollingInterests,439200000.0,481200000.0,441700000.0,289600000.0
NetIncomeContinuousOperations,439200000.0,481200000.0,441700000.0,289600000.0
TaxProvision,144900000.0,158500000.0,177900000.0,99200000.0
PretaxIncome,584100000.0,639700000.0,619600000.0,388800000.0
OtherIncomeExpense,-35700000.0,100800000.0,159000000.0,13400000.0
OtherNonOperatingIncomeExpenses,-3500000.0,-7300000.0,-3900000.0,-5100000.0
SpecialIncomeCharges,-38500000.0,-5400000.0,23600000.0,
RestructuringAndMergernAcquisition,38500000.0,5400000.0,-23600000.0,
GainOnSaleOfSecurity,6300000.0,113500000.0,139300000.0,140800000.0
OperatingIncome,619800000.0,538900000.0,460600000.0,375400000.0
OperatingExpense,266500000.0,277600000.0,279900000.0,323300000.0
SellingGeneralAndAdministration,266500000.0,277600000.0,279900000.0,323300000.0
SellingAndMarketingExpense,21100000.0,22900000.0,25800000.0,28200000.0
GeneralAndAdministrativeExpense,245400000.0,254700000.0,254100000.0,295100000.0
OtherGandA,85700000.0,100000000.0,254100000.0,295100000.0
RentAndLandingFees,159700000.0,154700000.0,,
GrossProfit,886300000.0,816500000.0,740500000.0,698700000.0
CostOfRevenue,784400000.0,793700000.0,797100000.0,825500000.0
TotalRevenue,1670700000.0,1610200000.0,1537600000.0,1524200000.0
OperatingRevenue,1670700000.0,1610200000.0,1537600000.0,1524200000.0
