,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.186,0.136,0.198,0.21
NormalizedEBITDA,20930000.0,35481000.0,21296000.0,12495000.0
NetIncomeFromContinuingOperationNetMinorityInterest,5468000.0,18223000.0,6052000.0,-1829000.0
ReconciledDepreciation,8578000.0,8457000.0,8670000.0,8758000.0
ReconciledCostOfRevenue,113540000.0,126308000.0,109886000.0,116337000.0
EBITDA,20930000.0,35481000.0,21296000.0,12495000.0
EBIT,12352000.0,27024000.0,12626000.0,3737000.0
NetInterestIncome,-5636000.0,-5944000.0,-5092000.0,-4900000.0
InterestExpense,5636000.0,5944000.0,5092000.0,4900000.0
NormalizedIncome,5468000.0,18223000.0,6052000.0,-1829000.0
NetIncomeFromContinuingAndDiscontinuedOperation,5420000.0,18215000.0,6040000.0,-1904000.0
TotalExpenses,141153000.0,154874000.0,133797000.0,143318000.0
DilutedAverageShares,132089000.0,129925000.0,129975000.0,128082000.0
BasicAverageShares,129777000.0,129460000.0,128940000.0,128082000.0
DilutedEPS,0.04,0.14,0.05,-0.01
BasicEPS,0.04,0.14,0.05,-0.01
DilutedNIAvailtoComStockholders,5420000.0,18215000.0,6040000.0,-1904000.0
NetIncomeCommonStockholders,5420000.0,18215000.0,6040000.0,-1904000.0
NetIncome,5420000.0,18215000.0,6040000.0,-1904000.0
MinorityInterests,0.0,18000.0,7000.0,0.0
NetIncomeIncludingNoncontrollingInterests,5420000.0,18197000.0,6033000.0,-1904000.0
NetIncomeDiscontinuousOperations,-48000.0,-8000.0,-12000.0,-75000.0
NetIncomeContinuousOperations,5468000.0,18205000.0,6045000.0,-1829000.0
TaxProvision,1248000.0,2875000.0,1489000.0,666000.0
PretaxIncome,6716000.0,21080000.0,7534000.0,-1163000.0
OtherIncomeExpense,2041000.0,6435000.0,214000.0,-393000.0
OtherNonOperatingIncomeExpenses,2041000.0,6435000.0,214000.0,-393000.0
NetNonOperatingInterestIncomeExpense,-5636000.0,-5944000.0,-5092000.0,-4900000.0
InterestExpenseNonOperating,5636000.0,5944000.0,5092000.0,4900000.0
OperatingIncome,10311000.0,20589000.0,12412000.0,4130000.0
OperatingExpense,27613000.0,28566000.0,23911000.0,26981000.0
OtherOperatingExpenses,3775000.0,2341000.0,720000.0,3135000.0
SellingGeneralAndAdministration,23838000.0,26225000.0,23191000.0,23846000.0
GeneralAndAdministrativeExpense,23838000.0,26225000.0,23191000.0,23846000.0
OtherGandA,23838000.0,26225000.0,23191000.0,23846000.0
GrossProfit,37924000.0,49155000.0,36323000.0,31111000.0
CostOfRevenue,113540000.0,126308000.0,109886000.0,116337000.0
TotalRevenue,151464000.0,175463000.0,146209000.0,147448000.0
OperatingRevenue,151464000.0,175463000.0,146209000.0,147448000.0
