,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,229890.0,77520.0,-385910.0,-1590330.0
TaxRateForCalcs,0.194,0.228,0.298,0.21
NormalizedEBITDA,37160000.0,57481000.0,66263000.0,52011000.0
TotalUnusualItems,1185000.0,340000.0,-1295000.0,-7573000.0
TotalUnusualItemsExcludingGoodwill,1185000.0,340000.0,-1295000.0,-7573000.0
NetIncomeFromContinuingOperationNetMinorityInterest,19280000.0,30207000.0,31838000.0,42040000.0
ReconciledDepreciation,10033000.0,10735000.0,10830000.0,10464000.0
ReconciledCostOfRevenue,335708000.0,395281000.0,453087000.0,433071000.0
EBITDA,38345000.0,57821000.0,64968000.0,44438000.0
EBIT,28312000.0,47086000.0,54138000.0,33974000.0
NetInterestIncome,-3931000.0,-5762000.0,-6492000.0,-6961000.0
InterestExpense,3931000.0,5762000.0,6492000.0,6961000.0
NormalizedIncome,18324890.0,29944520.0,32747090.0,48022670.0
NetIncomeFromContinuingAndDiscontinuedOperation,19280000.0,30207000.0,31838000.0,42040000.0
TotalExpenses,374806000.0,434803000.0,493508000.0,468864000.0
TotalOperatingIncomeAsReported,26975000.0,45898000.0,55136000.0,40902000.0
DilutedAverageShares,63095000.0,63234000.0,63621000.0,63521000.0
BasicAverageShares,62598000.0,62931000.0,62905000.0,62842000.0
DilutedEPS,0.31,0.48,0.5,0.66
BasicEPS,0.31,0.48,0.51,0.67
DilutedNIAvailtoComStockholders,19280000.0,30207000.0,31838000.0,42040000.0
NetIncomeCommonStockholders,19280000.0,30207000.0,31838000.0,42040000.0
NetIncome,19280000.0,30207000.0,31838000.0,42040000.0
MinorityInterests,-383000.0,-1688000.0,-1592000.0,-934000.0
NetIncomeIncludingNoncontrollingInterests,19663000.0,31895000.0,33430000.0,42974000.0
NetIncomeContinuousOperations,19663000.0,31895000.0,33430000.0,42974000.0
TaxProvision,4718000.0,9429000.0,14216000.0,-15961000.0
PretaxIncome,24381000.0,41324000.0,47646000.0,27013000.0
OtherIncomeExpense,1337000.0,713000.0,-998000.0,-6928000.0
OtherNonOperatingIncomeExpenses,152000.0,373000.0,297000.0,645000.0
SpecialIncomeCharges,87000.0,61000.0,10000.0,-40000.0
GainOnSaleOfPPE,87000.0,61000.0,10000.0,-40000.0
GainOnSaleOfBusiness,0.0,0.0,0.0,0.0
EarningsFromEquityInterest,,277000.0,455000.0,289000.0
GainOnSaleOfSecurity,1098000.0,279000.0,-1305000.0,-7533000.0
NetNonOperatingInterestIncomeExpense,-3931000.0,-5762000.0,-6492000.0,-6961000.0
InterestExpenseNonOperating,3931000.0,5762000.0,6492000.0,6961000.0
OperatingIncome,26975000.0,46373000.0,55136000.0,40902000.0
OperatingExpense,39098000.0,39522000.0,40421000.0,35793000.0
OtherOperatingExpenses,2344000.0,1921000.0,2935000.0,2495000.0
OtherTaxes,0.0,-475000.0,,0.0
ResearchAndDevelopment,3167000.0,3218000.0,3014000.0,2812000.0
SellingGeneralAndAdministration,33587000.0,34858000.0,34472000.0,30486000.0
GrossProfit,66073000.0,85895000.0,95557000.0,76695000.0
CostOfRevenue,335708000.0,395281000.0,453087000.0,433071000.0
TotalRevenue,401781000.0,481176000.0,548644000.0,509766000.0
OperatingRevenue,401781000.0,481176000.0,548644000.0,509766000.0
