,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,817530.0
TaxRateForCalcs,0.0,0.0,0.0,0.21
NormalizedEBITDA,25130000.0,24000000.0,21901000.0,20119000.0
TotalUnusualItems,-4788000.0,-2013000.0,-1699000.0,3893000.0
TotalUnusualItemsExcludingGoodwill,-4788000.0,-2013000.0,-1699000.0,3893000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-1467000.0,-367000.0,-1461000.0,3716000.0
ReconciledDepreciation,14147000.0,13751000.0,13373000.0,12766000.0
ReconciledCostOfRevenue,26007000.0,25774000.0,25073000.0,22897000.0
EBITDA,20342000.0,21987000.0,20202000.0,24012000.0
EBIT,6195000.0,8236000.0,6829000.0,11246000.0
NetInterestIncome,-6388000.0,-7422000.0,-7192000.0,-6560000.0
InterestExpense,7694000.0,8639000.0,8330000.0,7587000.0
InterestIncome,1306000.0,1217000.0,1138000.0,1027000.0
NormalizedIncome,3321000.0,1646000.0,238000.0,640530.0
NetIncomeFromContinuingAndDiscontinuedOperation,-1467000.0,-367000.0,-1461000.0,3716000.0
TotalExpenses,46437000.0,46371000.0,45240000.0,42582000.0
DilutedAverageShares,65076000.0,61236000.0,59085000.0,56755000.0
BasicAverageShares,65076000.0,61236000.0,59085000.0,56184000.0
DilutedEPS,-0.09,-0.07,-0.09,0.005
BasicEPS,-0.09,-0.07,-0.09,0.01
DilutedNIAvailtoComStockholders,-5831000.0,-4418000.0,-5297000.0,283000.0
NetIncomeCommonStockholders,-5831000.0,-4418000.0,-5297000.0,283000.0
OtherunderPreferredStockDividend,0.0,0.0,,0.0
PreferredStockDividends,4364000.0,4051000.0,3836000.0,3433000.0
NetIncome,-1467000.0,-367000.0,-1461000.0,3716000.0
MinorityInterests,32000.0,36000.0,40000.0,57000.0
NetIncomeIncludingNoncontrollingInterests,-1499000.0,-403000.0,-1501000.0,3659000.0
NetIncomeContinuousOperations,-1499000.0,-403000.0,-1501000.0,3659000.0
PretaxIncome,-1499000.0,-403000.0,-1501000.0,3659000.0
OtherIncomeExpense,-4718000.0,-1900000.0,-1676000.0,4053000.0
OtherNonOperatingIncomeExpenses,235000.0,288000.0,328000.0,458000.0
EarningsFromEquityInterest,-165000.0,-175000.0,-305000.0,-298000.0
GainOnSaleOfSecurity,-4788000.0,-2013000.0,-1699000.0,3893000.0
NetNonOperatingInterestIncomeExpense,-6388000.0,-7422000.0,-7192000.0,-6560000.0
InterestExpenseNonOperating,7694000.0,8639000.0,8330000.0,7587000.0
InterestIncomeNonOperating,1306000.0,1217000.0,1138000.0,1027000.0
OperatingIncome,9607000.0,8919000.0,7367000.0,6166000.0
OperatingExpense,20430000.0,20597000.0,20167000.0,19685000.0
DepreciationAmortizationDepletionIncomeStatement,14147000.0,13751000.0,13373000.0,12766000.0
DepreciationAndAmortizationInIncomeStatement,14147000.0,13751000.0,13373000.0,12766000.0
DepreciationIncomeStatement,14147000.0,13751000.0,13373000.0,12766000.0
SellingGeneralAndAdministration,6283000.0,6846000.0,6794000.0,6919000.0
SellingAndMarketingExpense,1792000.0,1665000.0,1812000.0,1288000.0
GeneralAndAdministrativeExpense,4491000.0,5181000.0,4982000.0,5631000.0
OtherGandA,4491000.0,5181000.0,4982000.0,5631000.0
GrossProfit,30037000.0,29516000.0,27534000.0,25851000.0
CostOfRevenue,26007000.0,25774000.0,25073000.0,22897000.0
TotalRevenue,56044000.0,55290000.0,52607000.0,48748000.0
OperatingRevenue,56044000.0,55290000.0,52607000.0,48748000.0
