,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-1275000.0,-4212000.0,-241000.0,0.0
TaxRateForCalcs,0.255,0.234,0.241,0.286034
NormalizedEBITDA,1806000000.0,1647000000.0,1438000000.0,1604000000.0
TotalUnusualItems,-5000000.0,-18000000.0,-1000000.0,0.0
TotalUnusualItemsExcludingGoodwill,-5000000.0,-18000000.0,-1000000.0,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,703000000.0,591000000.0,451000000.0,639000000.0
ReconciledDepreciation,695000000.0,696000000.0,693000000.0,577000000.0
ReconciledCostOfRevenue,1592000000.0,1537000000.0,1469000000.0,1317000000.0
EBITDA,1801000000.0,1629000000.0,1437000000.0,1604000000.0
EBIT,1106000000.0,933000000.0,744000000.0,1027000000.0
NetInterestIncome,-163000000.0,-161000000.0,-150000000.0,-132000000.0
InterestExpense,163000000.0,161000000.0,150000000.0,132000000.0
NormalizedIncome,706725000.0,604788000.0,451759000.0,639000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,703000000.0,591000000.0,451000000.0,639000000.0
TotalExpenses,2661000000.0,2611000000.0,2544000000.0,2272000000.0
TotalOperatingIncomeAsReported,1099000000.0,925000000.0,740000000.0,1024000000.0
DilutedAverageShares,68263000.0,68841000.0,69745000.0,69800000.0
BasicAverageShares,68153000.0,68718000.0,69414000.0,69400000.0
DilutedEPS,10.29,8.58,6.47,9.15
BasicEPS,10.3,8.6,6.5,9.207493
DilutedNIAvailtoComStockholders,703000000.0,591000000.0,451000000.0,639000000.0
NetIncomeCommonStockholders,703000000.0,591000000.0,451000000.0,639000000.0
NetIncome,703000000.0,591000000.0,451000000.0,639000000.0
NetIncomeIncludingNoncontrollingInterests,703000000.0,591000000.0,451000000.0,639000000.0
NetIncomeContinuousOperations,703000000.0,591000000.0,451000000.0,639000000.0
TaxProvision,240000000.0,181000000.0,143000000.0,256000000.0
PretaxIncome,943000000.0,772000000.0,594000000.0,895000000.0
OtherIncomeExpense,2000000.0,-10000000.0,3000000.0,3000000.0
OtherNonOperatingIncomeExpenses,7000000.0,8000000.0,4000000.0,3000000.0
SpecialIncomeCharges,-5000000.0,-18000000.0,-1000000.0,0.0
RestructuringAndMergernAcquisition,5000000.0,18000000.0,1000000.0,0.0
NetNonOperatingInterestIncomeExpense,-163000000.0,-161000000.0,-150000000.0,-132000000.0
InterestExpenseNonOperating,163000000.0,161000000.0,150000000.0,132000000.0
OperatingIncome,1104000000.0,943000000.0,741000000.0,1024000000.0
OperatingExpense,481000000.0,482000000.0,500000000.0,464000000.0
DepreciationAmortizationDepletionIncomeStatement,107000000.0,104000000.0,118000000.0,86000000.0
DepreciationAndAmortizationInIncomeStatement,107000000.0,104000000.0,118000000.0,86000000.0
SellingGeneralAndAdministration,374000000.0,378000000.0,382000000.0,378000000.0
GrossProfit,1585000000.0,1425000000.0,1241000000.0,1488000000.0
CostOfRevenue,2180000000.0,2129000000.0,2044000000.0,1808000000.0
TotalRevenue,3765000000.0,3554000000.0,3285000000.0,3296000000.0
OperatingRevenue,3765000000.0,3554000000.0,3285000000.0,3296000000.0
