,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,28887.366167,-6809.681299,-8820.0,0.0
TaxRateForCalcs,0.09379,0.117408,0.21,0.21
NormalizedEBITDA,9547000.0,8599000.0,2043000.0,-3074000.0
TotalUnusualItems,308000.0,-58000.0,-42000.0,
TotalUnusualItemsExcludingGoodwill,308000.0,-58000.0,-42000.0,
NetIncomeFromContinuingOperationNetMinorityInterest,8464000.0,5871000.0,-698000.0,-5115000.0
ReconciledDepreciation,515000.0,1012000.0,2162000.0,1378000.0
ReconciledCostOfRevenue,21802000.0,22845000.0,23672000.0,24714000.0
EBITDA,9855000.0,8541000.0,2001000.0,-3074000.0
EBIT,9340000.0,7529000.0,-161000.0,-4452000.0
NetInterestIncome,3349000.0,2115000.0,2565000.0,3742000.0
InterestExpense,0.0,877000.0,121000.0,124000.0
InterestIncome,3349000.0,2992000.0,2686000.0,
NormalizedIncome,8184887.366167,5922190.318701,-664820.0,-5115000.0
NetIncomeFromContinuingAndDiscontinuedOperation,8464000.0,5871000.0,-698000.0,-5115000.0
TotalExpenses,100570000.0,97240000.0,106387000.0,112068000.0
TotalOperatingIncomeAsReported,5683000.0,4595000.0,-2805000.0,-6504000.0
DilutedAverageShares,165906000.0,164988000.0,161833000.0,161613000.0
BasicAverageShares,163877000.0,162733000.0,161833000.0,161613000.0
DilutedEPS,0.05,0.03,-0.004313,-0.03
BasicEPS,0.05,0.04,-0.004313,-0.03
DilutedNIAvailtoComStockholders,8464000.0,5871000.0,-698000.0,-5115000.0
NetIncomeCommonStockholders,8464000.0,5871000.0,-698000.0,-5115000.0
NetIncome,8464000.0,5871000.0,-698000.0,-5115000.0
NetIncomeIncludingNoncontrollingInterests,8464000.0,5871000.0,-698000.0,-5115000.0
NetIncomeContinuousOperations,8464000.0,5871000.0,-698000.0,-5115000.0
TaxProvision,876000.0,781000.0,416000.0,539000.0
PretaxIncome,9340000.0,6652000.0,-282000.0,-4576000.0
OtherIncomeExpense,308000.0,-58000.0,-42000.0,-1814000.0
OtherNonOperatingIncomeExpenses,,,,-3707000.0
SpecialIncomeCharges,0.0,0.0,-37000.0,
GainOnSaleOfPPE,0.0,0.0,-37000.0,
GainOnSaleOfSecurity,308000.0,-58000.0,-5000.0,
NetNonOperatingInterestIncomeExpense,3349000.0,2115000.0,2565000.0,3742000.0
InterestExpenseNonOperating,0.0,877000.0,121000.0,124000.0
InterestIncomeNonOperating,3349000.0,2992000.0,2686000.0,
OperatingIncome,5683000.0,4595000.0,-2805000.0,-6504000.0
OperatingExpense,78768000.0,74395000.0,82715000.0,87354000.0
DepreciationAmortizationDepletionIncomeStatement,515000.0,1012000.0,2162000.0,1378000.0
DepreciationAndAmortizationInIncomeStatement,515000.0,1012000.0,2162000.0,1378000.0
Amortization,347000.0,910000.0,1234000.0,1234000.0
AmortizationOfIntangiblesIncomeStatement,347000.0,910000.0,1234000.0,1234000.0
DepreciationIncomeStatement,168000.0,102000.0,928000.0,144000.0
ResearchAndDevelopment,23153000.0,26676000.0,31260000.0,23137000.0
SellingGeneralAndAdministration,55100000.0,46707000.0,49293000.0,62839000.0
SellingAndMarketingExpense,36704000.0,39764000.0,39987000.0,40611000.0
GeneralAndAdministrativeExpense,18396000.0,6943000.0,9306000.0,22228000.0
OtherGandA,18396000.0,6943000.0,9306000.0,22228000.0
GrossProfit,84451000.0,78990000.0,79910000.0,80850000.0
CostOfRevenue,21802000.0,22845000.0,23672000.0,24714000.0
TotalRevenue,106253000.0,101835000.0,103582000.0,105564000.0
OperatingRevenue,106253000.0,101835000.0,103582000.0,105564000.0
