,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,9364056.810846,53779.384203,2013002.269146,7686000.0
TaxRateForCalcs,0.163977,0.06689,0.29417,0.21
NormalizedEBITDA,211267000.0,258026000.0,201824000.0,-332515000.0
TotalUnusualItems,57106000.0,804000.0,6843000.0,36600000.0
TotalUnusualItemsExcludingGoodwill,57106000.0,804000.0,6843000.0,36600000.0
NetIncomeFromContinuingOperationNetMinorityInterest,68375000.0,61906000.0,20697000.0,-477751000.0
ReconciledDepreciation,114988000.0,110389000.0,112578000.0,139609000.0
ReconciledCostOfRevenue,229098000.0,219496000.0,222760000.0,207739000.0
EBITDA,268373000.0,258830000.0,208667000.0,-295915000.0
EBIT,153385000.0,148441000.0,96089000.0,-435524000.0
NetInterestIncome,-75192000.0,-73910000.0,-76634000.0,-77655000.0
InterestExpense,82131000.0,81211000.0,80224000.0,82504000.0
InterestIncome,12934000.0,13255000.0,9603000.0,10587000.0
NormalizedIncome,20633056.810846,61155779.384203,15867002.269146,-506665000.0
NetIncomeFromContinuingAndDiscontinuedOperation,68375000.0,61906000.0,20697000.0,-477751000.0
TotalExpenses,379924000.0,369295000.0,376933000.0,378787000.0
DilutedAverageShares,192921000.0,194804000.0,191881000.0,191831000.0
BasicAverageShares,190364000.0,191468000.0,191869000.0,191831000.0
DilutedEPS,0.28,0.24,0.03,-2.57
BasicEPS,0.28,0.24,0.03,-2.57
DilutedNIAvailtoComStockholders,53195000.0,46753000.0,5167000.0,-493041000.0
AverageDilutionEarnings,350000.0,377000.0,-1000.0,239000.0
NetIncomeCommonStockholders,52845000.0,46376000.0,5168000.0,-493280000.0
OtherunderPreferredStockDividend,1000.0,1000.0,,0.0
PreferredStockDividends,15529000.0,15529000.0,15529000.0,15529000.0
NetIncome,68375000.0,61906000.0,20697000.0,-477751000.0
MinorityInterests,8805000.0,-827000.0,9499000.0,47251000.0
NetIncomeIncludingNoncontrollingInterests,59570000.0,62733000.0,11198000.0,-525002000.0
NetIncomeContinuousOperations,59570000.0,62733000.0,11198000.0,-525002000.0
TaxProvision,11684000.0,4497000.0,4667000.0,6974000.0
PretaxIncome,71254000.0,67230000.0,15865000.0,-518028000.0
OtherIncomeExpense,75375000.0,38076000.0,23509000.0,-508526000.0
SpecialIncomeCharges,55323000.0,906000.0,6862000.0,38480000.0
GainOnSaleOfPPE,56136000.0,936000.0,7520000.0,65241000.0
RestructuringAndMergernAcquisition,813000.0,30000.0,658000.0,7663000.0
EarningsFromEquityInterest,18269000.0,37272000.0,16666000.0,-545126000.0
GainOnSaleOfSecurity,1783000.0,-102000.0,-19000.0,-1880000.0
NetNonOperatingInterestIncomeExpense,-75192000.0,-73910000.0,-76634000.0,-77655000.0
TotalOtherFinanceCost,5995000.0,5954000.0,6013000.0,5738000.0
InterestExpenseNonOperating,82131000.0,81211000.0,80224000.0,82504000.0
InterestIncomeNonOperating,12934000.0,13255000.0,9603000.0,10587000.0
OperatingIncome,71071000.0,103064000.0,68990000.0,68153000.0
OperatingExpense,146187000.0,146572000.0,148160000.0,165310000.0
DepreciationAmortizationDepletionIncomeStatement,110349000.0,107162000.0,106565000.0,133871000.0
DepreciationAndAmortizationInIncomeStatement,110349000.0,107162000.0,106565000.0,133871000.0
SellingGeneralAndAdministration,35838000.0,39410000.0,41595000.0,31439000.0
GeneralAndAdministrativeExpense,35838000.0,39410000.0,41595000.0,31439000.0
OtherGandA,35838000.0,39410000.0,41595000.0,31439000.0
GrossProfit,217258000.0,249636000.0,217150000.0,233463000.0
CostOfRevenue,233737000.0,222723000.0,228773000.0,213477000.0
TotalRevenue,450995000.0,472359000.0,445923000.0,446940000.0
OperatingRevenue,450995000.0,418834000.0,445923000.0,446940000.0
