,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.0,0.0,0.0,0.0
NormalizedEBITDA,-35316000.0,-28987000.0,-29585000.0,-24093000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-33190000.0,-29979000.0,-28433000.0,-23910000.0
ReconciledDepreciation,-1424000.0,3187000.0,837000.0,632000.0
EBITDA,-35316000.0,-28987000.0,-29585000.0,-24093000.0
EBIT,-35316000.0,-32174000.0,-30422000.0,-24725000.0
NetInterestIncome,2126000.0,2195000.0,1989000.0,815000.0
InterestIncome,2126000.0,2195000.0,1989000.0,815000.0
NormalizedIncome,-33190000.0,-29979000.0,-28433000.0,-23910000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-33190000.0,-29979000.0,-28433000.0,-23910000.0
TotalExpenses,35316000.0,32174000.0,30422000.0,24725000.0
TotalOperatingIncomeAsReported,-35316000.0,-32174000.0,-30422000.0,-24725000.0
DilutedAverageShares,67607713.0,67033150.0,66265703.0,
BasicAverageShares,67607713.0,67033150.0,66265703.0,
DilutedEPS,-0.49,-0.45,-0.43,
BasicEPS,-0.49,-0.45,-0.43,
DilutedNIAvailtoComStockholders,-33190000.0,-29979000.0,-28433000.0,-23910000.0
NetIncomeCommonStockholders,-33190000.0,-29979000.0,-28433000.0,-23910000.0
NetIncome,-33190000.0,-29979000.0,-28433000.0,-23910000.0
NetIncomeIncludingNoncontrollingInterests,-33190000.0,-29979000.0,-28433000.0,-23910000.0
NetIncomeContinuousOperations,-33190000.0,-29979000.0,-28433000.0,-23910000.0
PretaxIncome,-33190000.0,-29979000.0,-28433000.0,-23910000.0
NetNonOperatingInterestIncomeExpense,2126000.0,2195000.0,1989000.0,815000.0
InterestIncomeNonOperating,2126000.0,2195000.0,1989000.0,815000.0
OperatingIncome,-35316000.0,-32174000.0,-30422000.0,-24725000.0
OperatingExpense,35316000.0,32174000.0,30422000.0,24725000.0
ResearchAndDevelopment,27606000.0,23897000.0,21915000.0,17062000.0
SellingGeneralAndAdministration,7710000.0,8277000.0,8507000.0,7663000.0
GeneralAndAdministrativeExpense,7710000.0,8277000.0,8507000.0,7663000.0
OtherGandA,7710000.0,8277000.0,8507000.0,7663000.0
TotalRevenue,0.0,0.0,0.0,0.0
OperatingRevenue,0.0,0.0,0.0,0.0
