,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.274,0.27,0.271,0.2727
NetIncomeFromContinuingOperationNetMinorityInterest,41601000.0,40248000.0,40451000.0,39344000.0
ReconciledDepreciation,3008000.0,2708000.0,3044000.0,2829000.0
NetInterestIncome,71715000.0,69882000.0,69153000.0,68723000.0
InterestExpense,1133000.0,607000.0,471000.0,475000.0
InterestIncome,72848000.0,70489000.0,69624000.0,69198000.0
NormalizedIncome,41601000.0,40248000.0,40451000.0,39344000.0
NetIncomeFromContinuingAndDiscontinuedOperation,41601000.0,40248000.0,40451000.0,39344000.0
DilutedAverageShares,26650000.0,26648000.0,26866000.0,26924000.0
BasicAverageShares,26648000.0,26648000.0,26859000.0,26912000.0
DilutedEPS,1.56,1.51,1.51,1.46
BasicEPS,1.56,1.51,1.51,1.46
DilutedNIAvailtoComStockholders,41601000.0,40248000.0,40451000.0,39344000.0
NetIncomeCommonStockholders,41601000.0,40248000.0,40451000.0,39344000.0
NetIncome,41601000.0,40248000.0,40451000.0,39344000.0
NetIncomeIncludingNoncontrollingInterests,41601000.0,40248000.0,40451000.0,39344000.0
NetIncomeContinuousOperations,41601000.0,40248000.0,40451000.0,39344000.0
TaxProvision,15345000.0,14495000.0,14591000.0,14752000.0
PretaxIncome,56946000.0,54743000.0,55042000.0,54096000.0
GainOnSaleOfSecurity,0.0,-125000.0,,0.0
SellingGeneralAndAdministration,11820000.0,11828000.0,12067000.0,11482000.0
GeneralAndAdministrativeExpense,11820000.0,11828000.0,12067000.0,11482000.0
SalariesAndWages,11820000.0,11828000.0,12067000.0,11482000.0
TotalRevenue,82996000.0,80582000.0,79702000.0,79186000.0
OperatingRevenue,82996000.0,80582000.0,79702000.0,79186000.0
