,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,119700.0,2921000.0,58979.983548
TaxRateForCalcs,0.221,0.171,0.23,0.1966
TotalUnusualItems,0.0,700000.0,12700000.0,300000.0
TotalUnusualItemsExcludingGoodwill,0.0,700000.0,12700000.0,300000.0
NetIncomeFromContinuingOperationNetMinorityInterest,216600000.0,215700000.0,142200000.0,293000000.0
ReconciledDepreciation,15700000.0,23300000.0,22500000.0,22100000.0
NetInterestIncome,542200000.0,517000000.0,568000000.0,623800000.0
InterestExpense,439600000.0,450500000.0,359000000.0,248600000.0
InterestIncome,981800000.0,967500000.0,927000000.0,872400000.0
NormalizedIncome,216600000.0,215119700.0,132421000.0,292758979.983548
NetIncomeFromContinuingAndDiscontinuedOperation,216600000.0,215700000.0,142200000.0,293000000.0
DilutedAverageShares,108500000.0,108300000.0,108300000.0,108400000.0
BasicAverageShares,108300000.0,108300000.0,108100000.0,108000000.0
DilutedEPS,1.97,1.96,1.28,2.67
BasicEPS,1.97,1.96,1.29,2.683333
DilutedNIAvailtoComStockholders,213400000.0,212500000.0,139000000.0,289800000.0
NetIncomeCommonStockholders,213400000.0,212500000.0,139000000.0,289800000.0
PreferredStockDividends,3200000.0,3200000.0,3200000.0,3200000.0
NetIncome,216600000.0,215700000.0,142200000.0,293000000.0
NetIncomeIncludingNoncontrollingInterests,216600000.0,215700000.0,142200000.0,293000000.0
NetIncomeContinuousOperations,216600000.0,215700000.0,142200000.0,293000000.0
TaxProvision,61300000.0,44400000.0,42400000.0,71700000.0
PretaxIncome,277900000.0,260100000.0,184600000.0,364700000.0
SpecialIncomeCharges,0.0,700000.0,12700000.0,0.0
RestructuringAndMergernAcquisition,,,,0.0
GainOnSaleOfSecurity,18400000.0,-200000.0,-158900000.0,-4900000.0
SellingGeneralAndAdministration,175200000.0,183600000.0,169800000.0,141900000.0
SellingAndMarketingExpense,4900000.0,5000000.0,5200000.0,7300000.0
GeneralAndAdministrativeExpense,170300000.0,178600000.0,164600000.0,134600000.0
InsuranceAndClaims,33100000.0,33000000.0,15700000.0,8900000.0
SalariesAndWages,137200000.0,145600000.0,148900000.0,125700000.0
TotalRevenue,580500000.0,558700000.0,447900000.0,601500000.0
OperatingRevenue,580500000.0,558700000.0,447900000.0,601500000.0
