,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-12199032.0,-2682173.0,-402840.0,280815.594118
TaxRateForCalcs,0.216,0.247,0.216,0.227013
NormalizedEBITDA,672031000.0,608499000.0,565784000.0,557723000.0
TotalUnusualItems,-56477000.0,-10859000.0,-1865000.0,1237000.0
TotalUnusualItemsExcludingGoodwill,-56477000.0,-10859000.0,-1865000.0,1237000.0
NetIncomeFromContinuingOperationNetMinorityInterest,229026000.0,209208000.0,197813000.0,194352000.0
ReconciledDepreciation,254372000.0,252374000.0,243341000.0,242830000.0
ReconciledCostOfRevenue,1204602000.0,1197349000.0,1146941000.0,1137973000.0
EBITDA,615554000.0,597640000.0,563919000.0,558960000.0
EBIT,361182000.0,345266000.0,320578000.0,316130000.0
NetInterestIncome,-66183000.0,-66207000.0,-65638000.0,-61390000.0
InterestExpense,69016000.0,67545000.0,68353000.0,64766000.0
InterestIncome,2833000.0,1338000.0,2715000.0,3376000.0
NormalizedIncome,273303968.0,217384827.0,199275160.0,193395815.594118
NetIncomeFromContinuingAndDiscontinuedOperation,229026000.0,209208000.0,197813000.0,194352000.0
TotalExpenses,1655290000.0,1666108000.0,1583949000.0,1558565000.0
TotalOperatingIncomeAsReported,352977000.0,344128000.0,314689000.0,311973000.0
DilutedAverageShares,258229404.0,258110491.0,257988971.0,257974749.0
BasicAverageShares,257633703.0,257596993.0,257372942.0,257219843.0
DilutedEPS,0.89,0.81,0.77,0.75
BasicEPS,0.89,0.81,0.77,0.76
DilutedNIAvailtoComStockholders,229026000.0,209208000.0,197813000.0,194352000.0
NetIncomeCommonStockholders,229026000.0,209208000.0,197813000.0,194352000.0
NetIncome,229026000.0,209208000.0,197813000.0,194352000.0
MinorityInterests,-165000.0,38000.0,-23000.0,51000.0
NetIncomeIncludingNoncontrollingInterests,229191000.0,209170000.0,197836000.0,194301000.0
NetIncomeContinuousOperations,229191000.0,209170000.0,197836000.0,194301000.0
TaxProvision,62975000.0,68551000.0,54389000.0,57063000.0
PretaxIncome,292166000.0,277721000.0,252225000.0,251364000.0
OtherIncomeExpense,-51105000.0,-11059000.0,1309000.0,2018000.0
OtherNonOperatingIncomeExpenses,5372000.0,-200000.0,3174000.0,781000.0
SpecialIncomeCharges,-56477000.0,-10859000.0,-1865000.0,1237000.0
WriteOff,56477000.0,10859000.0,1865000.0,-1237000.0
NetNonOperatingInterestIncomeExpense,-66183000.0,-66207000.0,-65638000.0,-61390000.0
InterestExpenseNonOperating,69016000.0,67545000.0,68353000.0,64766000.0
InterestIncomeNonOperating,2833000.0,1338000.0,2715000.0,3376000.0
OperatingIncome,409454000.0,354987000.0,316554000.0,310736000.0
OperatingExpense,450687000.0,468759000.0,437008000.0,420592000.0
DepreciationAmortizationDepletionIncomeStatement,254371000.0,252374000.0,243341000.0,242830000.0
DepreciationAndAmortizationInIncomeStatement,254371000.0,252374000.0,243341000.0,242830000.0
Amortization,39405000.0,39052000.0,39282000.0,41719000.0
AmortizationOfIntangiblesIncomeStatement,39405000.0,39052000.0,39282000.0,41719000.0
DepreciationIncomeStatement,214966000.0,213322000.0,204059000.0,201111000.0
SellingGeneralAndAdministration,196316000.0,216385000.0,193667000.0,177762000.0
GrossProfit,860141000.0,823746000.0,753562000.0,731328000.0
CostOfRevenue,1204603000.0,1197349000.0,1146941000.0,1137973000.0
TotalRevenue,2064744000.0,2021095000.0,1900503000.0,1869301000.0
OperatingRevenue,2064744000.0,2021095000.0,1900503000.0,1869301000.0
