,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,-4317261.586139,0.0,0.0
TaxRateForCalcs,0.213626,0.237944,0.245,0.162972
NormalizedEBITDA,102759000.0,106724000.0,62798000.0,59221000.0
TotalUnusualItems,,-18144000.0,,
TotalUnusualItemsExcludingGoodwill,,-18144000.0,,
NetIncomeFromContinuingOperationNetMinorityInterest,52580000.0,24750000.0,42894000.0,30989000.0
ReconciledDepreciation,15156000.0,21914000.0,13110000.0,8133000.0
ReconciledCostOfRevenue,,201084000.0,148816000.0,116657000.0
EBITDA,102759000.0,88580000.0,62798000.0,59221000.0
EBIT,87603000.0,66666000.0,49688000.0,51088000.0
NetInterestIncome,,-5928000.0,1002000.0,2370000.0
NormalizedIncome,52580000.0,38576738.413861,42894000.0,30989000.0
NetIncomeFromContinuingAndDiscontinuedOperation,52580000.0,24750000.0,42894000.0,30989000.0
TotalExpenses,,239153000.0,178717000.0,139553000.0
TotalOperatingIncomeAsReported,87603000.0,48522000.0,49688000.0,48221000.0
DilutedAverageShares,65486000.0,65003000.0,79155000.0,76410000.0
BasicAverageShares,64879000.0,64566000.0,63740000.0,60797000.0
DilutedEPS,0.8,0.38,0.63,0.5
BasicEPS,0.81,0.38,0.67,0.51
DilutedNIAvailtoComStockholders,52580000.0,24750000.0,50206000.0,38538000.0
AverageDilutionEarnings,0.0,0.0,7312000.0,7549000.0
NetIncomeCommonStockholders,52580000.0,24750000.0,42894000.0,30989000.0
NetIncome,52580000.0,24750000.0,42894000.0,30989000.0
MinorityInterests,-15439000.0,-7709000.0,-9394000.0,-9750000.0
NetIncomeIncludingNoncontrollingInterests,68019000.0,32459000.0,52288000.0,40739000.0
NetIncomeContinuousOperations,68019000.0,32459000.0,52288000.0,40739000.0
TaxProvision,18478000.0,10135000.0,1940000.0,7932000.0
PretaxIncome,86497000.0,42594000.0,54228000.0,48671000.0
OtherIncomeExpense,,-18144000.0,3538000.0,-1920000.0
OtherNonOperatingIncomeExpenses,,,3538000.0,-1920000.0
SpecialIncomeCharges,,-18144000.0,,
RestructuringAndMergernAcquisition,-5091000.0,18144000.0,,
NetNonOperatingInterestIncomeExpense,,-5928000.0,1002000.0,2370000.0
TotalOtherFinanceCost,,5928000.0,-1002000.0,1509000.0
OperatingIncome,87603000.0,66666000.0,49688000.0,48221000.0
OperatingExpense,,38069000.0,29901000.0,22896000.0
SellingGeneralAndAdministration,29549000.0,38069000.0,29901000.0,22896000.0
GrossProfit,,104735000.0,79589000.0,71117000.0
CostOfRevenue,,201084000.0,148816000.0,116657000.0
TotalRevenue,287870000.0,305819000.0,228405000.0,187774000.0
OperatingRevenue,287870000.0,305819000.0,228405000.0,187774000.0
