,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,273584.90566,-1029940.11976,0.0,11441860.465116
TaxRateForCalcs,0.273585,0.257485,0.362069,0.27907
NormalizedEBITDA,326000000.0,295000000.0,176000000.0,247000000.0
TotalUnusualItems,1000000.0,-4000000.0,0.0,41000000.0
TotalUnusualItemsExcludingGoodwill,1000000.0,-4000000.0,0.0,41000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,152000000.0,122000000.0,34000000.0,122000000.0
ReconciledDepreciation,79000000.0,86000000.0,83000000.0,84000000.0
ReconciledCostOfRevenue,823000000.0,828000000.0,699000000.0,740000000.0
EBITDA,327000000.0,291000000.0,176000000.0,288000000.0
EBIT,248000000.0,205000000.0,93000000.0,204000000.0
NetInterestIncome,-36000000.0,-38000000.0,-35000000.0,-32000000.0
InterestExpense,36000000.0,38000000.0,35000000.0,32000000.0
NormalizedIncome,151273584.90566,124970059.88024,34000000.0,92441860.465116
NetIncomeFromContinuingAndDiscontinuedOperation,152000000.0,122000000.0,34000000.0,122000000.0
TotalExpenses,1375000000.0,1375000000.0,1234000000.0,1264000000.0
TotalOperatingIncomeAsReported,212000000.0,189000000.0,124000000.0,265000000.0
DilutedAverageShares,524137931.0,515940000.0,515907000.0,515074000.0
BasicAverageShares,524137931.0,515940000.0,515907000.0,515074000.0
DilutedEPS,0.29,0.23,0.06,0.23
BasicEPS,0.29,0.23,0.06,0.23
DilutedNIAvailtoComStockholders,146000000.0,122000000.0,34000000.0,120000000.0
NetIncomeCommonStockholders,146000000.0,122000000.0,34000000.0,120000000.0
OtherunderPreferredStockDividend,,,,2000000.0
NetIncome,152000000.0,122000000.0,34000000.0,122000000.0
MinorityInterests,-2000000.0,-2000000.0,-3000000.0,-2000000.0
NetIncomeIncludingNoncontrollingInterests,154000000.0,124000000.0,37000000.0,124000000.0
NetIncomeContinuousOperations,154000000.0,124000000.0,37000000.0,124000000.0
TaxProvision,58000000.0,43000000.0,21000000.0,48000000.0
PretaxIncome,212000000.0,167000000.0,58000000.0,172000000.0
OtherIncomeExpense,37000000.0,16000000.0,-31000000.0,-20000000.0
OtherNonOperatingIncomeExpenses,36000000.0,20000000.0,-31000000.0,-61000000.0
SpecialIncomeCharges,1000000.0,-4000000.0,0.0,41000000.0
GainOnSaleOfBusiness,0.0,0.0,0.0,41000000.0
OtherSpecialCharges,0.0,4000000.0,,
RestructuringAndMergernAcquisition,-1000000.0,0.0,,
NetNonOperatingInterestIncomeExpense,-36000000.0,-38000000.0,-35000000.0,-32000000.0
InterestExpenseNonOperating,36000000.0,38000000.0,35000000.0,32000000.0
OperatingIncome,211000000.0,189000000.0,165000000.0,224000000.0
OperatingExpense,530000000.0,525000000.0,513000000.0,503000000.0
DepreciationAmortizationDepletionIncomeStatement,57000000.0,64000000.0,61000000.0,63000000.0
DepreciationAndAmortizationInIncomeStatement,57000000.0,64000000.0,61000000.0,63000000.0
Amortization,57000000.0,64000000.0,61000000.0,63000000.0
AmortizationOfIntangiblesIncomeStatement,57000000.0,64000000.0,61000000.0,63000000.0
SellingGeneralAndAdministration,473000000.0,461000000.0,452000000.0,440000000.0
SellingAndMarketingExpense,200000000.0,217000000.0,199000000.0,219000000.0
GeneralAndAdministrativeExpense,273000000.0,244000000.0,253000000.0,221000000.0
OtherGandA,273000000.0,244000000.0,253000000.0,221000000.0
GrossProfit,741000000.0,714000000.0,678000000.0,727000000.0
CostOfRevenue,845000000.0,850000000.0,721000000.0,761000000.0
TotalRevenue,1586000000.0,1564000000.0,1399000000.0,1488000000.0
OperatingRevenue,1586000000.0,1564000000.0,1399000000.0,1488000000.0
