,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,3557.380285,2463250.0,-806250.0,-55250.0
TaxRateForCalcs,0.000919,0.25,0.25,0.25
NormalizedEBITDA,-353975000.0,-337073000.0,-213519000.0,-216087000.0
TotalUnusualItems,3872000.0,9853000.0,-3225000.0,-221000.0
TotalUnusualItemsExcludingGoodwill,3872000.0,9853000.0,-3225000.0,-221000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-278674000.0,-279841000.0,-181355000.0,-179678000.0
ReconciledCostOfRevenue,473712000.0,482131000.0,482001000.0,485442000.0
EBITDA,-350103000.0,-327220000.0,-216744000.0,-216308000.0
EBIT,-350103000.0,-327220000.0,-216744000.0,-216308000.0
NetInterestIncome,40363000.0,39987000.0,39493000.0,33671000.0
InterestIncome,40363000.0,39987000.0,39493000.0,33671000.0
NormalizedIncome,-282542442.619715,-287230750.0,-178936250.0,-179512250.0
NetIncomeFromContinuingAndDiscontinuedOperation,-278674000.0,-279841000.0,-181355000.0,-179678000.0
TotalExpenses,1372266000.0,1371429000.0,1210964000.0,1330273000.0
TotalOperatingIncomeAsReported,-350103000.0,-327220000.0,-216744000.0,-216308000.0
DilutedAverageShares,595484128.0,608136724.0,610490072.0,609331812.0
BasicAverageShares,595484128.0,608136724.0,610490072.0,609331812.0
DilutedEPS,-0.47,-0.46,-0.295,-0.295
BasicEPS,-0.47,-0.46,-0.295,-0.295
DilutedNIAvailtoComStockholders,-278674000.0,-279841000.0,-181355000.0,-179678000.0
NetIncomeCommonStockholders,-278674000.0,-279841000.0,-181355000.0,-179678000.0
OtherunderPreferredStockDividend,,,,0.0
NetIncome,-278674000.0,-279841000.0,-181355000.0,-179678000.0
MinorityInterests,-289000.0,-775000.0,-2383000.0,-164000.0
NetIncomeIncludingNoncontrollingInterests,-278385000.0,-279066000.0,-178972000.0,-179514000.0
NetIncomeContinuousOperations,-278385000.0,-279066000.0,-178972000.0,-179514000.0
TaxProvision,-256000.0,2330000.0,4829000.0,2755000.0
PretaxIncome,-278641000.0,-276736000.0,-174143000.0,-176759000.0
OtherIncomeExpense,31099000.0,10497000.0,3108000.0,5878000.0
OtherNonOperatingIncomeExpenses,27227000.0,644000.0,6333000.0,6099000.0
GainOnSaleOfSecurity,3872000.0,9853000.0,-3225000.0,-221000.0
NetNonOperatingInterestIncomeExpense,40363000.0,39987000.0,39493000.0,33671000.0
InterestIncomeNonOperating,40363000.0,39987000.0,39493000.0,33671000.0
OperatingIncome,-350103000.0,-327220000.0,-216744000.0,-216308000.0
OperatingExpense,898554000.0,889298000.0,728963000.0,844831000.0
ResearchAndDevelopment,249662000.0,236245000.0,182960000.0,212495000.0
SellingGeneralAndAdministration,648892000.0,653053000.0,546003000.0,632336000.0
SellingAndMarketingExpense,534328000.0,540593000.0,445565000.0,509229000.0
GeneralAndAdministrativeExpense,114564000.0,112460000.0,100438000.0,123107000.0
OtherGandA,114564000.0,112460000.0,100438000.0,123107000.0
GrossProfit,548451000.0,562078000.0,512219000.0,628523000.0
CostOfRevenue,473712000.0,482131000.0,482001000.0,485442000.0
TotalRevenue,1022163000.0,1044209000.0,994220000.0,1113965000.0
OperatingRevenue,994541000.0,1006358000.0,953904000.0,1059509000.0
