,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,1469370.0,-1005060.0,6300.0,-15778140.0,94920.0
TaxRateForCalcs,0.21,0.21,0.21,0.21,0.21
NormalizedEBITDA,-1757000.0,-7980000.0,-10179000.0,-13788000.0,-27891000.0
TotalUnusualItems,6997000.0,-4786000.0,30000.0,-75134000.0,452000.0
TotalUnusualItemsExcludingGoodwill,6997000.0,-4786000.0,30000.0,-75134000.0,452000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-5502000.0,-22562000.0,-19295000.0,-107858000.0,-37034000.0
ReconciledDepreciation,4792000.0,4602000.0,4290000.0,5013000.0,4843000.0
ReconciledCostOfRevenue,35028000.0,37781000.0,37346000.0,38065000.0,40280000.0
EBITDA,5240000.0,-12766000.0,-10149000.0,-88922000.0,-27439000.0
EBIT,448000.0,-17368000.0,-14439000.0,-93935000.0,-32282000.0
NetInterestIncome,-3338000.0,1050000.0,1323000.0,1402000.0,-3257000.0
InterestExpense,5610000.0,4607000.0,4387000.0,4486000.0,4444000.0
InterestIncome,2272000.0,5657000.0,5710000.0,5888000.0,1187000.0
NormalizedIncome,-11029630.0,-18781060.0,-19318700.0,-48502140.0,-37391080.0
NetIncomeFromContinuingAndDiscontinuedOperation,-5502000.0,-22562000.0,-19295000.0,-107858000.0,-37034000.0
TotalExpenses,118670000.0,126287000.0,123274000.0,127730000.0,134993000.0
TotalOperatingIncomeAsReported,-8821000.0,-18239000.0,-20179000.0,-99689000.0,-33921000.0
DilutedAverageShares,141488000.0,138605000.0,136190000.0,134349000.0,132579000.0
BasicAverageShares,141488000.0,138605000.0,136190000.0,134349000.0,132579000.0
DilutedEPS,-0.04,-0.16,-0.14,-0.24,-0.28
BasicEPS,-0.04,-0.16,-0.14,-0.24,-0.28
DilutedNIAvailtoComStockholders,-5502000.0,-22562000.0,-19295000.0,-107858000.0,-37034000.0
NetIncomeCommonStockholders,-5502000.0,-22562000.0,-19295000.0,-107858000.0,-37034000.0
NetIncome,-5502000.0,-22562000.0,-19295000.0,-107858000.0,-37034000.0
NetIncomeIncludingNoncontrollingInterests,-5502000.0,-22562000.0,-19295000.0,-107858000.0,-37034000.0
NetIncomeContinuousOperations,-5502000.0,-22562000.0,-19295000.0,-107858000.0,-37034000.0
TaxProvision,340000.0,587000.0,469000.0,9437000.0,308000.0
PretaxIncome,-5162000.0,-21975000.0,-18826000.0,-98421000.0,-36726000.0
OtherIncomeExpense,6997000.0,-4786000.0,30000.0,-75134000.0,452000.0
GainOnSaleOfSecurity,6997000.0,-4786000.0,30000.0,-134000.0,452000.0
NetNonOperatingInterestIncomeExpense,-3338000.0,1050000.0,1323000.0,1402000.0,-3257000.0
InterestExpenseNonOperating,5610000.0,4607000.0,4387000.0,4486000.0,4444000.0
InterestIncomeNonOperating,2272000.0,5657000.0,5710000.0,5888000.0,1187000.0
OperatingIncome,-8821000.0,-18239000.0,-20179000.0,-24689000.0,-33921000.0
OperatingExpense,83642000.0,88506000.0,85928000.0,89665000.0,94713000.0
ResearchAndDevelopment,27504000.0,26256000.0,25668000.0,24925000.0,28413000.0
SellingGeneralAndAdministration,56138000.0,62250000.0,60260000.0,64740000.0,66300000.0
SellingAndMarketingExpense,40245000.0,42799000.0,41444000.0,41295000.0,46973000.0
GeneralAndAdministrativeExpense,15893000.0,19451000.0,18816000.0,23445000.0,19327000.0
OtherGandA,15893000.0,19451000.0,18816000.0,23445000.0,19327000.0
GrossProfit,74821000.0,70267000.0,65749000.0,64976000.0,60792000.0
CostOfRevenue,35028000.0,37781000.0,37346000.0,38065000.0,40280000.0
TotalRevenue,109849000.0,108048000.0,103095000.0,103041000.0,101072000.0
OperatingRevenue,109849000.0,108048000.0,103095000.0,103041000.0,101072000.0
